sample_id	input	filtered	denoised_fwd	denoised_rev	merged
m1	114498	80334	77075	76996	54862
m10	41852	25431	24556	24275	21830
m11	65009	45263	43002	42433	37929
m12	11341	6404	5931	5876	4687
m13	126491	75428	74499	74298	65933
m14	31427	21090	19920	19709	18038
m15	38808	24804	23249	22935	19291
m16	13088	8064	7484	7351	5865
m17	34127	24221	23041	23103	20283
m18	77123	45784	43448	43178	35140
m19	52206	36936	35763	35469	31837
m2	51544	37487	34563	34126	26828
m20	51026	32601	29929	29597	24899
m21	86399	47204	45045	44866	39290
m22	26035	18890	17526	17477	15115
m23	50412	28155	27638	27405	25273
m24	39759	25822	24918	24781	20500
m25	736012	517786	509641	508485	454774
m26	33694	23326	21909	21791	15850
m27	73088	49362	47935	47654	43208
m28	71737	43652	41760	41799	34603
m29	56310	41613	39880	39830	36701
m3	114759	76641	71587	70820	50993
m31	35961	20744	19525	19351	16607
m32	343538	236173	228853	227314	182854
m33	39071	18288	16798	16545	12865
m34	279922	189503	184903	183862	156968
m35	64288	44636	42399	42187	34660
m36	273501	171667	163493	161693	107023
m37	129100	90135	85555	84823	74029
m38	41190	26762	25064	24762	21811
m39	1275175	1013637	998417	997545	895550
m4	49522	32560	30963	30846	25543
m40	1075557	773739	757424	755283	612286
m41	1289113	884389	873830	870919	790439
m42	14058	8154	7167	6965	5532
m43	54594	39181	37895	37687	33959
m44	69765	41959	39061	38547	28977
m45	93313	53279	50734	50591	39198
m46	21104	13644	12804	12757	8988
m5	641088	429474	421263	418871	301538
m6	118129	70726	69795	69930	51494
m7	224443	166900	163142	162421	143454
m8	123090	89960	86769	86417	78111
m9	33545	17998	17321	17067	11198
neg1	418	20	20	20	20
neg2	468	34	34	32	28
s12428	41146	27972	27066	26714	24560
s12430	127087	74864	73571	73039	69733
s12438	501622	336119	334194	333226	309270
s12614	455363	341135	339433	338807	313398
s12884	98778	46081	45049	44599	36465
s12903	466526	329768	325994	325133	265797
s138530	105751	76544	74675	74326	67484
s15825	12180	7265	6241	5970	4545
s15827	15665	9665	8510	8205	6199
s15829	5899	2905	2356	2339	1757
s15947	114696	56278	55438	55058	51747
s15949	128833	77056	76365	75949	71422
s15965	197525	117315	116290	115723	109506
s15981	45139	28764	27513	27182	20401
s15987	180978	122423	120703	120191	86623
s15997	42027	22854	22180	21972	19350
s16001	218664	155748	153466	152895	134475
s19481	265599	162400	160949	160078	132879
s19501	95581	63365	61088	60529	53227
s19505	72914	52037	49704	49244	41470
s19507	27141	12275	11554	11124	7958
s19509	14818	8749	7960	7698	6329
s19511	137505	67336	66484	66211	62909
s19594	44437	29980	28532	28307	19959
s39300	18967	12523	10860	10505	8315
s39314	34730	23540	21410	20803	15517
s39326	103843	78275	75807	75817	69117
s39352	22970	15437	14003	13870	11256
s401612	68458	50115	48134	47707	40139
s401614	26641	17120	15875	15595	11968
s401616	35133	23684	22112	21800	13107
s401618	28995	19598	18088	17629	12393
s401620	31553	20401	18943	18500	14205
s401622	65610	41906	40608	40056	27694
s401632	41670	29398	26701	26142	20018
s401634	35596	22864	21526	21063	12934
s401644	11106	5889	5391	5094	3442
s401646	23003	16116	15041	14912	9886
s401650	14408	9630	8267	8025	6176
s401652	286544	194949	192129	192056	119080
s401654	99390	67764	67059	66911	56936
s401656	233169	173855	171684	171251	153372
s401658	1296	738	619	546	343
s401660	186043	126056	124639	124219	105184
s401954	80854	45191	44243	43848	35378
s401956	12821	7614	6939	6711	4879
s401964	95956	68182	67646	67485	60960
s401972	54127	38011	36691	36413	29589
s401974	261251	168443	166612	166463	152048
s401978	74448	36719	36162	35644	33692
s401996	55208	38573	38027	37813	31417
s402006	19527	10776	10560	10469	9390
s402112	62856	37733	37001	36891	32958
s402116	26341	17896	16285	16471	11671
s402118	16491	9698	8574	8486	6903
s402120	20919	13558	12708	12526	9695
s402122	38297	25664	23516	22838	18190
s402124	34526	23131	21542	21411	17951
s402150	36290	22329	21406	21119	17274
s62120	34936	22116	21052	20749	15755
s62128	154230	108728	107317	106880	88904
s62134	28806	19058	17324	17020	13570
s62150	79929	50950	48813	48074	42582
s62152	105205	76349	72790	72121	63828
s62154	157668	108999	107749	107551	103660
s62156	62874	46528	44348	43858	38564
s62158	84699	60238	57774	57287	51189
s62160	79089	57756	54586	54388	44466
s62162	126049	89020	87223	86374	69482
s62164	31146	23132	21970	21805	17535
s62166	42207	25781	24371	23987	18171
s62168	49602	36551	35052	34640	29920
s62170	23218	16055	14883	14732	12374
s62172	39880	27624	25688	25593	18748
s62174	43487	31378	28990	29061	23037
s7839	11123	4970	4333	4190	2997
s7857	505542	307139	305207	305358	281040
s7863	70413	40330	38717	38269	28830
s9450	129959	92467	88715	87744	77038
s9466	17913	10437	9590	9553	7691
s9586	115017	83527	80825	80300	65599
