	s12903	m41	m25	m5	s62162	s62160	s19481	m34	m32	s12438	s401660	s401612	m3	m1	s402150	s401656	s39326	m40	m11	s16001	s62172	s62156	m7	s402124	s62152	s15965	m46	s7857	s401652	m39	s7863	m36	s62174	m45	s62166	s39314	s401632	s15987	s15981	m37	s401654	s62158	m2	s401622	m28	m21	m8	s401964	s401614	s402122	m9	s401954	s19501	m27	s62150	s401996	s19507	s19505	s62164	s402112	s401646	s401618	m6	m14	s138530	s401616	m18	s9450	m4	s12614	s402120	m17	m23	m35	s401620	s401974	m20	s402116	s62120	s39352	s401956	s62168	s9586	s401634	m31	s402006	s19594	m24	s9466	m44	s15947	m26	s62170	s401978	s12884	m43	s401972	m22	m29	m13	m33	m38	m15	m10	s62128	s15827	s15949	m16	s39300	s62154	m12	s402118	s15825	m19	s62134	s401650
s12903	0.0	8.549112044649506	6.40350100189366	4.235522543472441	3.6311183423127438	5.698225709840845	4.882621353989229	6.2935390090787875	5.126298129530833	4.502404947727096	2.551845508311748	3.6387430898767215	5.041159828307655	5.455356248895824	4.58735563845743	3.059889980931851	3.2303118288846213	2.675014754475283	3.545794402768548	1.9651996394160012	6.181278873818095	5.183368281912695	4.960566319555647	2.876907938590536	5.317531237076459	4.911944225615307	4.533475267777812	3.5396806857171947	3.8074241937957582	2.682083111222867	3.643160443908832	4.028660808715368	5.097152527987883	5.310301247750865	3.7940023792770883	4.644705984638243	3.1212301093604182	1.7738957247095855	3.3118931299147287	5.462178990816185	2.534511434096689	3.5255787245952757	4.354742879833398	5.167672189576261	5.0190980696591705	4.34384596566112	4.157641662607625	3.016614770238773	2.557107727143665	3.810447116499522	4.66793319147835	3.6029644967125574	5.148990472764891	5.667323119225171	3.8923204163596608	3.513676748063	3.040612598369411	4.10500092358369	3.695649876368054	4.384639047645664	2.9666306260182314	3.183702470274842	3.3728833137036696	3.8181085744998473	4.4934274462731105	3.220019236111861	6.372558938633368	4.53359893412103	4.635579169265008	3.744298854788064	3.768079725189789	5.128656039409318	4.42831555410468	4.260149703973992	3.7271846517422347	4.136482007079917	3.915315689603807	5.091321996228983	3.2523336301340673	4.159093557744552	3.4268155782428633	3.1378235481296914	3.47806530849002	3.877896070736462	3.7420510260513424	3.6638491885333297	3.0186185388165643	3.746632485307127	3.910527232317886	3.6470016637666243	3.39695687372014	3.1948301298917223	3.690470961350257	3.301851315213218	4.482286930609182	3.9934839623861524	4.348676691153288	3.9270660556292594	3.653636137476749	3.622121865411548	3.975151783204534	3.622121865411548	3.4571599761984584	4.563610426790726	4.359833260269594	3.4883361864406193	3.6424179711611187	3.6221218654115486	3.622121865411548	3.9345340963430813	3.622121865411548	3.6221218654115486	3.951516882953738	3.5508404078294338	3.622121865411548	3.622121865411548
m41	8.549112044649506	0.0	2.149330139379891	6.599730274804589	5.3964187408575315	6.153388731598615	5.498462138985439	6.435640656025904	5.636960643353414	5.362023838386864	6.719133139870208	5.610813955277131	3.7917008830235743	4.537378981549504	4.764367496276355	5.726542088658727	5.378137659086486	6.22178812133215	5.430703852242814	7.449863705684953	4.691279395593263	5.580669404334825	5.332230688982219	5.762334894816411	5.168426770630812	4.442074151286047	5.343310018054585	5.716790493909317	5.376656455069636	6.710915759964018	5.540176602582515	5.620752716340588	4.38713068564852	4.351032712557475	5.788589739914096	4.493536971955969	6.204276012702036	6.805464716628191	6.325046371806719	5.77347921407642	6.587229541713668	5.25194297617709	4.366843152374976	4.300051655833364	5.079348535917616	4.514642678550942	6.1774767404734385	5.939454639951264	6.446961701659066	4.787244620350639	4.942815452067257	5.8425286499218165	4.891517763863547	4.403565126145182	5.073209881484497	5.411109279541042	5.7908030209682	4.686834384393291	6.110433503616271	5.073018161826235	5.855785582146135	6.34421179662565	6.015817812031319	4.895323172726901	4.631977455577294	5.683973372613539	3.69858115354125	4.951814245160231	4.229061471125602	5.464359501952046	5.57320999728422	4.374933766354262	5.007474648678282	5.1744142397136805	5.022263272072802	5.5089919987876055	5.638227060664858	4.357359990565887	5.836952830271448	4.706571740861332	5.329235498777787	5.657359222893147	5.644144134055791	5.072781740406004	5.471897790280472	5.540806876144587	5.817695769712325	5.518048195027787	5.779583207575614	5.48303930043116	5.659640317858144	6.005089297662403	5.517291620924915	6.199305094594781	4.675653562748037	5.423698588437694	4.927529594835408	5.4619956301095876	5.487247906966082	5.567489391416035	5.603818100178085	5.567489391416035	5.404505547505386	4.680014136918564	5.248887734126645	5.636482016007581	5.522379122441194	5.567489391416035	5.567489391416035	5.283904429143257	5.567489391416035	5.567489391416035	5.060254390383195	5.604057168931392	5.567489391416035	5.567489391416035
m25	6.40350100189366	2.149330139379891	0.0	4.812031792635309	3.37753715594516	4.83676104581903	3.8203594325089374	5.127889233243401	4.056083167403133	3.5365962548657732	4.6965073428350435	3.577639199949002	1.8790531157885717	2.973078563514654	2.9345748117153843	3.603562839045005	3.260722841297522	4.100157798359504	3.434211185412831	5.350542504025041	3.5452212057060253	4.0976356828435225	3.6254029443754074	3.6515564121016895	3.568493646591153	2.67031398875538	3.506648101807848	3.693380216988258	3.36713423038494	4.669858757443504	3.5165320468220296	3.694721207082055	2.708260113491836	2.6573028717218565	3.8344490868822065	2.5617102099069027	4.169014448208369	4.656869326536552	4.326537093610351	4.234003551524385	4.543729171491629	3.19297526884299	2.290764335122691	2.5475807343572296	3.3823694874120247	2.45824309293465	4.3095172081810595	3.8559242017545907	4.335850031184063	2.666088671422474	3.1100849275658646	3.8636495644180333	3.2275405570276674	2.9183982592371303	3.0170046536075827	3.3330282829190523	3.684512024243903	2.6735482739623304	4.162160138398378	3.180654223359401	3.7395112010303397	4.308181115707844	4.008696975751922	2.829832593048978	2.684027789005536	3.6101854696520124	2.5412474026525005	3.0921349646092073	2.23636658959626	3.45322271241827	3.5786712083858996	2.633822694507232	3.113305752473027	3.2764863495145553	2.9061863577978526	3.591619888683968	3.688190019626933	2.5816379358127057	3.7611181861921423	2.6555971298944328	3.2318363225746873	3.564251008081639	3.598845680110801	3.0307947916674953	3.4864186364392262	3.519255383948058	3.706901278511397	3.512124991754519	3.8482957317115516	3.4493418469238857	3.6055035876309045	3.947961071515401	3.5015349041825066	4.197055981329133	2.7349381520243736	3.4677608141313767	2.990206721255023	3.4973829296156365	3.446155482984231	3.5417558176501642	3.6626176005381597	3.5417558176501642	3.316198968533572	2.751603874904138	3.3706250161224687	3.5884740851667165	3.4930353135473653	3.5417558176501642	3.5417558176501642	3.287983076329944	3.5417558176501642	3.5417558176501642	3.0173150930258226	3.568254247949819	3.5417558176501642	3.5417558176501642
m5	4.235522543472441	6.599730274804589	4.812031792635309	0.0	4.6126486631539185	7.242754548715649	5.721949882083669	6.081927691149669	1.187330871449354	4.870192008314546	4.05724158176745	3.383739343936999	3.3691575954303663	2.254943057983931	5.259424888592608	2.634515726633325	3.6531579946607464	2.992656218000643	4.152223937938343	2.3182736453489836	6.94981208409472	6.4940040057454125	2.988786238531486	3.6079219972547207	4.531456611984617	5.343069959440882	4.076182201314284	4.304224372511208	4.363528938453977	4.90476983525301	4.318131879682925	4.57167208240289	5.5739464644476815	4.345182443968119	4.717792075259172	4.460133707708837	4.597105450274355	3.1720693736318415	4.707309462476517	4.087031533816144	4.404664688065353	4.15161831296777	2.771612362331038	4.798948289936955	4.939948173463264	2.8676809375091943	3.609924144313728	4.211773961209866	3.6808994619133655	3.788108073686308	4.674076510635345	4.813678528406365	5.122288875670221	5.625551030567538	3.8392173668270977	3.956116794152458	3.9121409889431367	3.429527468746228	4.745939537303827	4.79311608878833	3.662229643202335	3.821154390531062	4.7198120838948	4.076543541360401	4.541226951057779	4.297436359686763	6.092300991687826	4.932070990142356	4.563506544385463	4.366774766831647	4.328600206832092	5.0477840614973815	4.695162123616288	5.002690938936769	3.1946860297547808	4.3999110208662495	4.536193984334213	4.741103333762483	3.618512558650604	4.162020425673398	4.045869618085989	4.137694405752933	4.220534616313912	4.2957575909108	4.782928673412814	4.263711757032788	3.7733303804711373	4.316406556352151	4.738897061317977	4.21923820708942	4.29060542197208	4.1283993398147505	4.3565856849666496	4.802869294959854	4.5741079274475265	4.543627557316222	4.51628291491244	4.580010097280499	3.8827140724592764	4.282362726168927	4.517305561568182	4.282362726168927	3.9757496240055805	4.189828004592414	4.772632111548316	4.111318626923079	4.225843357718311	4.282362726168927	4.282362726168927	4.323715976797172	4.282362726168927	4.282362726168927	3.871573707157058	4.2518598975009	4.282362726168928	4.282362726168927
s62162	3.6311183423127438	5.3964187408575315	3.37753715594516	4.6126486631539185	0.0	3.2032654956817077	1.9610072766364113	4.481748204028226	4.693964563368623	1.9134829106592532	2.4587969235249	2.11022990429603	2.8901443898855472	4.12652990463855	0.970842429855095	2.0927376396084307	1.148123924279894	2.0983948853888417	1.5954457498177483	3.5265296474974823	2.7201498688700747	2.370710409720968	3.6928451944066887	1.395323403658253	3.237082333735549	1.281023821399357	2.5782719539276853	1.2588593790934546	1.1063958892910766	1.3176036274805307	1.1141802698302055	1.7040735146025183	1.5176595820301877	2.7615593788549604	1.382008368908932	1.596328528118687	1.1279362199666538	2.2418504322445845	1.5333886544686794	4.088939855933243	1.8264044557542414	0.9295264434781267	2.4425099385728903	2.1374118581311685	2.4369101142808565	2.388133464615079	3.184219983337101	0.8640315331336406	1.8021303323017244	1.079864708089168	1.9168045667711402	0.9672985881933871	2.3376570908278023	2.4481074073595663	1.4262789971381973	1.0752431442075636	0.9945517679996518	2.161610998117267	1.715428875830169	1.380607296272762	1.3031826103257866	2.181865624415068	1.0047502104948314	1.0556267151329048	1.3324073377930679	0.4876414266713888	2.918503846589835	1.3864967006271176	1.2258925106902585	1.125102677175536	1.4139909912282131	1.9060795238288535	1.497148724906765	0.967570971980484	1.7013894076001268	1.900280679814181	1.5640966653136794	2.0907573117939693	1.7071699397738924	1.1092455014464702	0.5866904444543246	0.5749235851812664	1.1023220630741322	0.7900119894801811	0.414125653320185	1.2297101498283014	1.1843505880627732	1.2924793087601207	1.559769129850019	1.1441607159920284	0.8558501990539679	1.399426085429154	1.1213113084265673	1.1675022769150085	1.3226029224483282	1.3673675106271324	1.4179428715916624	1.2465582475421206	1.5480651397225118	1.169513263079052	1.6398309802264597	1.1695132630790521	0.9140571167469076	1.88662894984263	1.5970400224237327	1.247096690547434	1.199555532795964	1.1695132630790523	1.1695132630790521	1.2776354644540668	1.169513263079052	1.1695132630790523	1.4874264096553378	1.1315677103086095	1.1695132630790521	1.169513263079052
s62160	5.698225709840845	6.153388731598615	4.83676104581903	7.242754548715649	3.2032654956817077	0.0	4.210992927258164	7.1709148419725945	7.174012678176958	4.743738560090291	3.7958487532337872	5.301624240417956	4.662661577630032	6.706352674019889	2.780618867234158	5.109315157281335	3.693831819520693	5.188184243694949	3.104661628621478	6.208991047057185	2.1971731335137887	0.8754978325338109	6.746691460223533	3.7577714274882434	6.146930216422581	2.9615279485776935	5.639719833656562	4.388711516416778	4.2082448839334115	3.6070134988849443	4.2478332589133805	4.7086253761528924	2.5507494729392186	5.5187098305034725	4.343093209926384	4.352101800058471	4.060933530728655	4.896445439673227	4.44762030749294	7.151812309722252	3.3484139743881207	3.175862318337366	4.91071739578467	4.696997443450268	5.186808149273132	5.206246034565305	6.3699500144996515	3.9552043744995236	4.87422898160501	3.6985486153785874	4.74237338121041	3.872915625446912	4.944917900295796	4.569360964858797	4.545071518219607	4.2704066350999685	4.150667516155052	3.955625811648715	4.659529826488917	4.187655050932141	4.461640545080709	5.342098276677001	3.933068515064162	3.272457508798006	4.106693404072658	3.604882789790019	4.454024609833102	4.06325895847162	3.6212177186909513	4.235055843698696	4.518544679800079	4.322898698229401	4.337207272923154	3.64110447034272	4.744712349141192	4.942661785141744	4.590664782383369	4.696441130783686	4.907848396346069	4.043492075642481	3.7135375236724033	3.608432268668437	4.266638809915005	3.8750072656480183	3.3851570885218023	4.367671180266547	4.350067109494234	4.406883744508178	4.507566959609169	4.29802591955471	4.021818368852776	4.540823362233623	4.240168546646144	4.0117769013629605	4.101443619735231	4.379479237771299	4.321345452061198	4.2576131071957	4.7286414612361	4.309776972163162	4.6665684916708	4.309776972163162	4.11173673740593	4.800536902907605	4.456056680064156	4.423293256799167	4.349315354472003	4.309776972163162	4.309776972163162	4.35805048884932	4.309776972163162	4.309776972163162	4.596562052458921	4.285266332803803	4.309776972163162	4.309776972163162
s19481	4.882621353989229	5.498462138985439	3.8203594325089374	5.721949882083669	1.9610072766364113	4.210992927258164	0.0	2.9816241979024474	5.725116860130536	0.9675640664558515	4.37227237388407	2.424780630454782	4.162054258880142	4.795957922368438	1.8207513325073472	3.180002768719147	2.960457027920035	3.0251868032977276	3.5275886366022555	4.729546843910558	2.79693743728137	3.4461903775612077	3.7154669803342326	3.2515013585880133	2.4023084133454624	1.7709019166483766	2.1094980421308422	1.556382751354755	1.4205590986716687	2.471085208174608	1.506162764754348	1.242922594288912	2.20203039604922	2.248785331256979	1.176780554132415	1.5240728531390568	1.7777265314009185	3.638836518862976	1.6106235063465697	3.5188585076754832	3.6882325669787117	2.841874669255701	3.5937445025977253	1.5218218777543298	1.329906996216295	3.1371050315931353	2.9639515024657364	2.0504154578043816	2.5964631345312585	2.6435883985376036	1.2183615620396953	1.3373714209955232	1.1406344765931669	1.222693774302714	1.8990608710682484	1.8687824354378024	2.1664696787003397	3.8304520173617296	1.3501714812996655	0.9679977743569784	2.32176435297353	2.3610286090302184	1.5461060431822158	2.8312647515805875	1.4029553640128232	2.076866335778301	1.9917322123737615	0.9057820570745343	1.9231947944693752	1.430591925946367	1.448061669303133	1.2346425371264054	1.0683196723902961	1.0318309136806625	2.581635555086846	1.4447977761754505	1.2648293236541268	1.5068398615060499	2.2324902734577936	1.7850885730384929	2.1508648012709077	2.29135713591462	1.652790209333502	1.6440397933569382	1.568744012223321	1.5291845171064935	2.2262320738484136	1.4568924965117922	1.1312434109115919	1.5788611923788174	1.708698300872705	1.8767855357286003	1.4577226568553558	1.590998085744824	1.3503440840384573	1.1977268860580619	1.2616434633635607	1.1903501001598624	1.8651443283028348	1.5351829187776052	1.2799407741482436	1.5351829187776052	1.9283455787797645	1.7223662805310203	0.9586080993727719	1.7163021668503062	1.5688046464713654	1.5351829187776052	1.5351829187776052	1.411159152686667	1.5351829187776052	1.5351829187776052	1.8630266923799468	1.592312758133988	1.535182918777605	1.5351829187776052
m34	6.2935390090787875	6.435640656025904	5.127889233243401	6.081927691149669	4.481748204028226	7.1709148419725945	2.9816241979024474	0.0	6.077450852553939	2.5731449941273	6.546512432893304	3.233645613309756	5.682367155643262	5.006375963054918	4.555117625368248	4.326270153474458	5.038005580706871	4.1313066631591235	5.861866715918417	5.587868067206467	5.535638378113072	6.3735416073704565	3.236487434329368	5.316872246138604	1.7959185445610597	4.418099563061863	2.3262825507303155	3.391414696241067	3.420497604006373	4.796959937888753	3.4618930219036077	2.8241181666083004	4.894022787798026	2.5924397706746167	3.204986607309495	3.269892916507648	3.896592587993056	5.136740253038817	3.4701554584361953	2.167772019835545	6.015382345852991	5.180095799631308	4.867755367309035	2.898163530448851	2.146716489245798	4.0846878160578	2.594197400762368	4.141593712146944	3.9715581453646736	4.697917250468453	2.6738413355407498	3.7110926280710195	2.3507172927452693	2.8675403162414566	3.4352458593270434	3.6933750337980844	4.075729806862361	5.740016941118027	3.036733472260867	3.154368097837059	3.977232919784344	3.222163513484626	3.812451114356374	5.0996233615302335	3.423882777256726	4.362897175258976	3.5638538095212855	3.232162574534974	4.118553268235096	3.4137807822018598	3.167172934148312	3.1077503774198996	3.0480345000021263	3.6556490156891135	3.905733135312709	2.664013439596293	2.9763075279966333	2.8898054595994265	3.483007341262305	3.74499756667229	4.315753543295204	4.5247545398882725	3.561111773488587	3.807194594701053	4.133837031578224	3.368018595303517	3.976421320852316	3.277337294984217	3.008922317733371	3.459775636046289	3.804334018471818	3.5373101237761735	3.4336185199839604	3.807787338976355	3.399643973191256	3.1273352417452416	3.1645981352293613	3.247733114986331	3.2712046234159713	3.4293438212529233	2.8952785553001115	3.429343821252923	3.8680399137374533	2.9741778981920266	2.895051236179797	3.4667304015582565	3.4107744448611466	3.429343821252923	3.429343821252923	3.2638294648785457	3.4293438212529233	3.429343821252923	3.3526881102587556	3.4962419168541663	3.429343821252923	3.429343821252923
m32	5.126298129530833	5.636960643353414	4.056083167403133	1.187330871449354	4.693964563368623	7.174012678176958	5.725116860130536	6.077450852553939	0.0	4.892756802157689	4.437123146032936	3.562985167383866	2.789672631199807	1.4093428211163375	5.148642905462254	2.926910864359168	3.761713661350505	3.4395200864203446	4.1986949038095	3.266646957171082	6.692339938613006	6.411303455950566	2.8611025299910846	3.82690027182852	4.410374192634558	5.157633746980342	4.086187656013279	4.485474200440192	4.451716927254438	5.282910034796221	4.4535694062346805	4.689256321616885	5.357842315080906	4.0650457995298215	4.8807588895409255	4.300150398957652	4.8866779447738	3.7839099786932104	5.007953735899587	4.035911019732341	4.757337201764754	4.1945120835228655	2.422480198573943	4.562689820925329	4.859007878745025	2.6157628350338764	3.8560156612734815	4.470088036318249	4.127614645038369	3.7209385415615044	4.602519473332809	4.99207662658997	4.999325755064145	5.3843130726755595	3.8591058986143785	4.081061233402739	4.153302461690188	3.2298087123743824	4.978758221219977	4.7720406925907755	3.9399224500172307	4.195595537000782	4.950181857672205	4.021655110812312	4.423790354917961	4.478513626391689	5.695560092053902	4.875863183211051	4.349081363943564	4.477886616369266	4.463026727131297	4.839025372066337	4.658388400089404	5.0046908504382746	3.205088935093182	4.489042741338055	4.667091399160864	4.520633456752486	3.879003386475849	4.078321329942247	4.144830500876257	4.320739100462332	4.392459777003324	4.3121388947216435	4.8748130641988405	4.400111465812412	4.031771853857878	4.440774164865891	4.891642147678431	4.345190176032476	4.465797057477254	4.403285945959768	4.482832638519125	5.069747379908745	4.466840537042913	4.624864256181592	4.469906241223592	4.672661659327929	4.018946837495762	4.4264984541024965	4.637163681779496	4.4264984541024965	4.100460772370687	4.065196044467632	4.787369486871846	4.285795355431535	4.360749478641397	4.4264984541024965	4.4264984541024965	4.38439025150001	4.4264984541024965	4.4264984541024965	3.883636219500683	4.409438069985517	4.4264984541024965	4.4264984541024965
s12438	4.502404947727096	5.362023838386864	3.5365962548657732	4.870192008314546	1.9134829106592532	4.743738560090291	0.9675640664558515	2.5731449941273	4.892756802157689	0.0	4.141798001426168	1.5301368762778247	3.693014397078309	3.971545658688518	2.0699607564209055	2.4310852989911353	2.6097138193737797	2.296151095252107	3.358616462134646	4.029652397689481	3.443082322707398	3.912830887750667	2.76652485375979	2.910224832195698	1.5871228861134457	2.0265970438517744	1.1535603297891344	1.011711832189403	0.9145768762467856	2.467515756339951	1.0000592935596042	0.4780164320860619	2.5148179517096514	1.5084693595915653	0.7970292179328994	1.016185530109797	1.56446352680547	3.1122727468631433	1.3184139314055394	2.62909935117237	3.5601277394876685	2.660660004652723	2.955412781041642	1.0701019544674464	0.6361585296468364	2.3684895484213846	2.026962818396075	1.7304773281429877	2.0038275364323357	2.2826383347485972	0.4501397310528518	1.2469093568620726	0.6801053610267107	1.3251802288148664	1.17328651559131	1.2989542046203029	1.7092886040532294	3.44885639977201	0.9139623370968664	0.609945410780745	1.7428622837008287	1.5995307968127659	1.4024685970170054	2.613530497866633	1.014971099254591	1.8563664068261443	2.223137263041922	0.7428938839267897	1.7455798866533028	0.9242246101489562	0.7813029607895974	1.0521991142169933	0.5402053947669636	1.1150807463972705	1.847795551912337	0.5215991023047089	0.5901428622398837	1.013564446196511	1.4743730374031685	1.327462001605095	1.8204040459977335	2.0324221853278783	1.1456699612963277	1.2820155033990142	1.5713802192503783	0.9444412987665806	1.6862241677437617	0.8459142452114025	0.6434393155001709	1.0191251899442388	1.3371938933459313	1.320501295124234	0.9575758696704634	1.4745965245828005	0.9723149071736955	0.6099999984534848	0.6955373970056821	0.7186537909354159	1.083850070422226	0.9936694159644782	0.5323793020080022	0.9936694159644779	1.43534824040804	0.9467158134563842	0.32611156561086424	1.1141806807541095	0.9877360161063097	0.9936694159644778	0.993669415964478	0.7864699126954667	0.9936694159644782	0.9936694159644778	1.1112497502365029	1.0697858104650109	0.9936694159644779	0.9936694159644781
