	m46	s402150	s9450	s62160	s62172	s9586	s15949	s401978	s401612	s19507	s402124	s62162	s402120	s15825	m9	s62170	m3	m22	m11	s39314	s401614	m1	s401646	s12903	s401956	s62166	s62156	s15981	s401632	s62174	s401618	m31	s402122	s62152	s15827	s9466	s7863	s401616	s39326	m6	s62134	s7857	s19481	m38	s401660	s62164	m2	m19	s19594	s401996	m14	s62168	m13	s401622	s401650	s15997	m34	s39300	m5	s39352	s402112	s401620	m45	s401634	s402116	s402006	m32	m26	s401972	s401654	s401954	m28	m12	s16001	m25	s12438	m7	m21	m17	s15965	s19505	s401656	s62120	s402118	m40	s62150	m4	s62158	s401652	m10	s62128	s19501	m33	m8	m23	m27	m16	s12884	m41	m18	s401964	m43	m20	m37	s15947	s15987	m36	m29	m35	m24	m42	s19511	s138530	m15	s401974	m44	s12428	s12430	s12614	s62154	s19509	m39
m46	0.0	4.681940751091722	3.5356175883629755	6.7805101363428975	5.020264805622578	3.5677921776077226	3.323453791512746	4.533176399132492	2.0321292798236548	2.1327299446674166	3.4791447750181836	3.8461009325175164	2.2561536363687082	2.773806354234114	1.260871045010032	2.6657012938085294	3.305863023670146	2.7190596222544077	3.0979406130331983	2.322707238660807	1.7711768302396902	1.515964387862361	2.0337803241997525	6.38587683248262	2.6538597269207242	2.527040955193643	5.2872726972424	2.8029619556030227	2.823985172753727	2.943527309103448	1.7160025554717855	3.2949316691483084	1.7491268368776214	1.8695789626390118	2.1512902399049363	3.315396068642343	2.279369933764374	1.8835758957505355	3.1756410758665568	3.733839948324326	2.508089471576579	2.614345925534939	2.4632418896460564	2.230593613062885	3.971798097742716	1.653612655037984	2.260925185332694	2.6095832627607374	2.4002441351017696	1.2503341437411184	2.6997894362348305	2.687601244666077	3.3846411273794184	1.119990892190542	1.9523854161599234	2.6673942601134373	1.3207401474964744	3.1762352232746487	1.5170415359874048	1.4472378805412363	2.40329442981402	1.974021089730439	0.13753026797674595	1.715162384245183	1.539110898451256	2.285057060157362	1.6486376329077252	2.8184475205634976	3.2052183291373377	1.850486609446648	2.7599916589924596	1.933908389688843	2.289020483874122	2.0065137734356706	2.4601705183432756	2.5867751865982282	0.7226638955119389	2.1064167526021693	1.7698867971712298	2.27885116629891	1.460374221290545	2.0316551094325326	2.168588079701723	2.302720012026327	1.9690259310335922	0.6929989175206864	1.9967480918785547	3.0561000418019058	2.70686258219108	2.0338568825578425	2.0196087892311994	1.8707080259129834	1.7846448749529256	1.9912059560766586	1.500690853864213	1.4236696841579335	1.9102529112006787	2.716479164625039	2.628144175871183	2.101687121704591	3.101178684322648	2.6143094597785703	1.7365973097398302	1.5456547862411265	2.6485534195111886	2.2155267237606235	2.058583978087519	2.0476114223746786	2.8587911241563138	1.9059453327499547	2.321379162636776	2.156012918066343	2.027238539388718	1.9535671243434642	2.3343621442579736	2.4529175338330287	2.2457530082683466	2.349084227463269	1.7898697628037374	2.271652110279424	2.321379162636776	2.321379162636776
s402150	4.681940751091722	0.0	4.688825161603784	2.631365825409326	0.9480809312689245	4.535567478585192	4.451209313870554	3.0062982152895126	2.7125122069129137	2.665252618403568	1.7123288875071034	1.6309373541073156	2.960201217714421	1.95446391426979	3.653969877199425	4.06087732988286	2.926179743350726	3.5935093381365264	2.680468576946201	4.309936388072913	3.067169148949133	4.214026346349693	3.029099470060062	4.571078949213117	2.241917202800941	2.3200066542566558	1.2864886285742105	2.211496364935791	1.868875145239427	1.8092225056415088	3.1894372579674917	2.762203976677485	3.9914371477885533	3.1993547611346047	3.2095633660617535	2.477855414080025	2.94215408604184	3.243180858412262	1.9517632946130763	2.6508504913603668	4.055129477126649	2.5764467824438753	3.1829163027230316	3.5670713574099358	2.0876890467452474	3.575024581725446	4.096315604940423	2.5396715603587294	3.2620402851515298	3.4840832778259783	2.2054603399169683	2.039689050836944	2.961520279807376	3.7714330633780966	3.1611778156198937	3.2557160708857085	4.897940280657658	2.160690420909665	4.140563984917655	3.6407100334270357	2.812409374772309	2.8538099877024163	4.649635662507029	3.081781853232166	3.2313893983385964	2.834114878153965	4.167062679316389	2.8885301804247496	2.5007877262731157	2.9890936367519996	2.454610724610918	5.005504192503712	2.9437732160234655	3.0228293344894426	3.681081158607302	2.740393414877636	4.604325424983048	3.3968960654172706	2.9721200919046105	3.0704224561639952	3.564264769539528	2.692693064634383	2.7907063768423996	2.6300395462163038	4.18344674157321	4.2150442854049786	2.9533874583149533	1.6360881874815536	2.738310191094198	3.3876161704454795	3.9307459025210614	3.2386088743835773	3.6296093449933235	5.154213443972688	3.3204621357001933	3.7965819714494407	3.170421697511182	2.8389755348058587	2.307190342843105	2.759773724716215	2.4527932215700647	2.7629209222896005	3.9364077455574384	4.628215043227823	3.211427461725458	3.2553133516754653	2.961920354455756	3.643915412015797	2.0730737168083544	3.1844159435566013	2.79488620326619	3.1920848897162903	2.743906322534974	2.82847413294781	2.9887539010379847	2.623227685628426	2.8958298756958616	2.9419750510934057	3.3940124487494905	2.9721917409628187	2.79488620326619	2.7948862032661905
s9450	3.5356175883629755	4.688825161603784	0.0	7.3029397993580885	5.086156265385364	0.3955167187873307	0.8443323819540639	3.4316435557898877	3.0675066035572347	3.270966967177339	4.525953604014906	3.398874683240353	2.9067710550456436	3.5962783886098255	3.7013742091322017	1.14620764937519	4.036991358325387	1.4244343264056298	3.1252357812083016	5.061220520131051	3.2181727192386655	4.450724957861462	3.5974257577435758	4.220906529448021	3.7408625348356543	3.0891766340833255	5.881378423969034	3.4818478998798192	3.671933592498574	3.8432534791360005	3.256712690658319	1.9320178365226877	3.764380871378457	3.7328770345901163	2.5617971607340446	2.3291249035083927	3.467438821428901	3.5039204081399573	3.7164630372833614	2.860532229006742	1.9303981770975558	3.5567922068156106	3.7527105732343062	1.6743220073936145	3.081030436747159	3.1301360950124812	3.156801157175617	3.9010389752285812	1.8884353074699063	3.5720918631568512	3.2772351344330612	3.5581294347259664	1.8298825382714985	3.7672113324522036	3.6251327692522035	1.9426703900537887	4.20949286781106	2.96929185544817	4.572089496376898	2.5607984814480327	3.534604037364731	3.8842340628636203	3.5570947623206948	2.7971260031292795	3.5784174344635216	3.500469710703725	2.681607936380685	1.988629932004461	3.136371611247087	3.379793123620849	3.528857033117649	4.388456174148617	3.4736082265859127	4.197651460827326	4.876361952124517	4.026545764260388	3.3376970562912502	4.616764892267436	3.3707781862143475	2.2308312218206483	3.5618814707531605	3.5172363866228107	3.3579317834992612	3.226325358036266	3.9387496786855447	3.8479239865171158	2.718112288661617	3.6598141789994916	4.570272749080439	2.2303697701665337	1.859730035897415	3.654269475902651	2.676193791121662	2.977618334003016	3.6105627834833665	4.021817265104512	3.6001881662761095	2.51015394451545	3.72011097744198	2.714966700229113	3.405656923305613	3.1260525670149435	3.9692953892245333	4.289820348784526	2.2956429385849217	2.1758008204471655	3.8098341361123973	2.131996256983178	3.2796920489791974	3.6348674210806697	3.476047592745243	3.7776912194843453	3.3265489388400886	3.5517229666212553	3.630411619428418	3.1699627188047472	3.47419588248535	2.5217947765522926	3.6451079319262445	3.478152750282227	3.476047592745243	3.4760475927452434
s62160	6.7805101363428975	2.631365825409326	7.3029397993580885	0.0	2.346132720724784	7.163434170756943	7.078426472244363	5.319047827586001	5.037347593809062	4.944856674246965	3.4086344253535645	4.0279668712554155	5.352364857935611	4.243349080300346	5.693181156711388	6.660667622268703	4.662515494971548	6.198159466370365	4.869300659972493	5.688919732527569	5.315004569473072	5.897362709525191	5.167676732378938	6.637929304534359	4.4200723352083235	4.7354194603099735	1.534714492598147	4.531600801413519	4.104559105008146	3.9545555939545043	5.420111140500132	5.371070525216093	5.891294899489701	5.266272323557852	5.660471306829901	5.1031559904484824	5.157072301073189	5.404392952416806	4.066882742335176	5.1571482456607365	6.591815397588827	4.807916086449501	5.29515176395283	6.117461234880096	4.4601745141726035	5.84131905103439	6.175718165540904	4.614594882746734	5.825642075693135	5.545465227340125	4.487223898282759	4.322097529008829	5.592624141887383	5.729199833594493	5.281116167377584	5.83445688972739	6.867445033512949	4.698637313457357	5.788962026313548	5.966335631513719	5.018091131984787	4.806824416305256	6.732451766297294	5.418603020001079	5.316742972221889	5.0410608700766435	6.411535787036724	5.491376755049979	4.934501548600814	5.18966456675472	4.722390497071411	6.9613651785323825	5.157151587426319	4.832368284419138	5.0732609805232824	4.743286576889646	6.792216011966517	4.959803360019021	5.160608418876571	5.528169669570828	5.673850912510786	4.811844601172123	5.0411874870390765	4.950556317491867	6.226503832295305	6.178767690572704	5.302594482069048	3.9820842773251077	4.426415929917418	5.87870347424371	6.449711739803423	5.339954874781893	6.016577817218072	7.515597892619636	5.336897446381087	5.729975376349753	5.296192925781605	5.36642047519946	4.35954416666304	5.1691159903983035	4.794901210499958	5.13352012789544	5.933742706019204	6.550474482362714	5.742454436355041	5.774054885090864	5.0087990529790325	6.141845925473124	4.497802671688311	5.296014837164029	5.016641995737493	5.268757030012692	4.985807679252872	4.969376985678569	5.143434340131971	4.979283401146031	5.106828333031349	5.432399392090035	5.495712426315576	5.181318415100002	5.016641995737493	5.016641995737494
s62172	5.020264805622578	0.9480809312689245	5.086156265385364	2.346132720724784	0.0	4.996599397064226	4.987136678700674	3.875151131541423	3.189255397526092	3.2068854382584613	1.7040644660152868	1.7184799681072696	3.6064669684582937	2.5052922223651946	4.105805181587962	4.56869235596149	2.623332445853684	4.123279783222464	2.6164416454515	4.264883772567186	3.593046157098471	4.330774950390138	3.623287808833089	5.3212452635600505	2.8565069406497856	2.89737738314502	1.2780106198481873	2.906328615544564	2.250688549491314	2.094349352798996	3.7312512162483142	3.177869867189201	4.008768061479796	3.7556414199489994	3.8264933999310893	3.0830311578926928	3.605460783133012	3.8390987278626794	1.9537559390640076	3.4529728377819855	4.687936797856344	3.277055926724383	3.896881070132178	4.0296369618374	2.129157291380753	4.165201849224862	4.062172029578416	3.1940439293025547	3.7882401052591135	3.8561668698653797	2.406409085482975	2.580749138183041	3.5177949427893225	4.023482021964896	3.752309810570181	3.861643728466288	5.408989517668968	2.8874057616400814	4.3317347163852835	3.931935000468554	3.4883861731738186	3.1661997817719274	4.96398221737756	3.4729950979126705	3.664407820049157	3.4803386185627554	4.310735055389577	3.430170261153267	3.301688084432578	3.517854895474485	3.18033559591944	5.608273499724611	3.609647525408909	3.3563368776209335	3.6326436057782945	3.4028085817421845	5.069806466601198	3.5597055271238087	3.443402928486412	3.3649821766517274	4.087231626677095	2.995362377853121	3.3938945005242784	3.2405808992895877	4.832753853706317	4.524983903227484	3.2430632485029887	2.161530429250265	3.2676462433026896	3.9410361101456455	4.463208545354215	3.8151982311465593	4.224876010687862	5.7616114881166025	3.564114666754934	4.271048749092149	3.7524669077549757	3.5120987314226695	2.430093391793161	3.1706278854656325	3.254306444630568	3.4826548400899755	4.526118264285564	5.169096709612263	3.8810435146442877	3.8193260364979014	3.5148340196728003	4.217091921730879	2.738159401666762	3.763943985038288	3.446704164369113	3.8305482338736647	3.2601931619957725	3.3184206209242584	3.6632576620152664	3.28310493729052	3.5421860632707074	3.553824906552143	3.9749034380377717	3.6370428732508233	3.446704164369113	3.4467041643691134
s9586	3.5677921776077226	4.535567478585192	0.3955167187873307	7.163434170756943	4.996599397064226	0.0	0.5183080119838853	3.078240556415609	2.9670582579305456	3.1409619167046356	4.470670457580675	3.347240157562458	2.7192738119849835	3.45940006439538	3.6249946666954496	0.9943664329757769	4.129479631592779	1.2363827271737486	3.195351470342195	5.132546901498535	3.100750632987824	4.5019748689659815	3.4453246307757697	3.866625409267039	3.580922808544703	2.940889194891314	5.740627882022388	3.2911293988843773	3.579000391573685	3.766670067039163	3.133132950292601	1.8227449177443	3.879379231076281	3.59833307942892	2.3812689213248577	2.1175662383874374	3.2817745698258403	3.3527357814543106	3.701180779042874	2.5504852823539537	1.6943329015020245	3.358052788540108	3.541772984187835	1.5975456329543254	3.060706745793507	2.985198461326039	3.344150497386524	3.723048091122483	1.7426465113410627	3.5295982768352028	3.2481131574572317	3.4244022690866878	1.6039990602378256	3.779771441463505	3.4751465363003247	1.7198403360054004	4.129091615910553	2.745603241103274	4.5858748870008865	2.6044982875678944	3.3442696198588955	3.830447231996337	3.5993489729584702	2.7507680675769404	3.501227124375471	3.3239487563492784	2.8370637094727096	1.8156038191176824	2.8704141522346167	3.2587059789904456	3.320462181335226	4.25427781282561	3.286698001092838	4.131528823507554	4.918976106565429	3.842988876833689	3.29870640970255	4.599685940548352	3.2749765780448943	2.2427122145880025	3.451700694197326	3.472983868524562	3.201032818904902	3.065063366956703	3.7664049454561157	3.8544375451623267	2.7139352491021196	3.530096707322949	4.424665724368025	2.087338798626074	1.7390507649409088	3.5116373536104635	2.52151967273586	2.8545094593796994	3.6106827248735125	3.9304909840432107	3.4547371388145374	2.281972650687572	3.7011511036337112	2.647139732401564	3.1556857418397875	2.904086158778635	3.8260881471397408	4.182258754898491	2.0501921348577596	2.016906419679345	3.673191211404166	1.9735912818862773	3.100004136492943	3.490481772026247	3.2969215997824777	3.6046110305533596	3.208020291505231	3.442671652149701	3.4401339453264215	2.9838366488279804	3.2971979934244926	2.3403192727226534	3.5021759402213766	3.2916424017883585	3.2969215997824777	3.296921599782478
s15949	3.323453791512746	4.451209313870554	0.8443323819540639	7.078426472244363	4.987136678700674	0.5183080119838853	0.0	2.7987653231178795	2.7371595865509817	2.8734012572672	4.375196375165308	3.3893658144284484	2.381718837347039	3.2491487217648483	3.3192629000608727	0.7152640801062439	4.193211552357616	0.9948009710298342	3.2777791203274367	5.009197745656954	2.80538083693384	4.334862270293389	3.111788676667455	3.7449879170170663	3.3117061812563287	2.709258723240063	5.62756737555624	3.0110890730135864	3.4277405297072354	3.637775718805384	2.818127297795853	1.8457795169265014	3.8254136794307816	3.2662694856487375	2.037061635799149	1.9773465656738753	2.929236695383465	3.0021290593900876	3.6745735820956997	2.274452027217518	1.2283853440926127	3.0299961637706567	3.1478113903491627	1.406990612279367	3.1774734705996948	2.6150994190469294	3.414807321931896	3.4073433705370975	1.506275816393505	3.279506593002132	3.179666241305192	3.2098452266260984	1.507976939628019	3.5802343361224507	3.1318558627798634	1.4132934751133328	3.7485495778557936	2.508108735147859	4.371985123245593	2.4795243776222904	2.9993531530326867	3.6224257201916408	3.370918673582427	2.5578947590306047	3.230339335893073	2.988418711106712	2.8279289566733317	1.6448904929323014	2.5485906166840513	2.9633343300309134	2.9999352921522062	3.8212076832001087	2.9329372809639196	3.892475999307124	4.79730721202665	3.5047453469133787	2.9690359548409626	4.402128356704167	3.009778421869147	2.198673515348348	3.1152288735060605	3.3005712992492797	2.8904148531886613	2.7729499191598275	3.3333869981322604	3.61156900123486	2.608249504415283	3.3614116301087837	4.122422375289639	1.7778629880204593	1.401584484630751	3.168650216635097	2.145335628391831	2.4208537803830166	3.4349953066514503	3.5997558358897237	3.1151005900762283	1.971857527825167	3.6100983697058564	2.4790653555965982	2.8239898840472337	2.5570296340164123	3.4331250995640277	3.7885506721672138	1.6866363938219149	1.7206060629239661	3.358746491242865	1.6174421379010293	2.859255068758816	3.1504570237564926	2.9636084428637637	3.2378632103572915	2.9420484866484893	3.1726331210039627	3.0776510099214556	2.6747291584227844	2.9558666783002883	2.039450610139014	3.14622079161461	2.9354363888213215	2.9636084428637637	2.963608442863764
s401978	4.533176399132492	3.0062982152895126	3.4316435557898877	5.319047827586001	3.875151131541423	3.078240556415609	2.7987653231178795	0.0	2.886838830972786	2.775756935252391	3.8384763931415713	3.102598030411927	2.3310942644971426	2.6861055052441305	3.6806596692725733	2.7996964412755245	4.645685699126719	2.449341385584604	3.858582935129208	5.574477110660618	2.974156685058637	5.033280089333472	2.9075543735620584	2.120775077740546	2.6614210316983287	2.441555795011651	4.06741929938093	2.248427920994909	3.0411803162463005	3.2520966386534496	2.997509180606378	2.413321990866825	4.851620399315425	3.1623806558275365	2.3908075132781663	1.7839845425626986	2.5587507280650117	2.948741057544138	3.60396182658993	0.886102480799158	2.4855670854868013	2.3476235616632963	2.5819467674387906	2.8261046501537916	3.1955795862229164	2.9602421104787306	4.807207818836411	2.6924648511513096	2.4624919730512627	3.7527103021123467	3.2974764143995845	2.711385248459519	1.930295081907721	4.263612105210005	2.9849065870779037	2.1032598051871316	4.382495225112906	1.6905930317922633	4.879724496690824	3.6864791183789754	2.5004098416126075	3.678463241770382	4.582310401204713	3.188763794463634	3.4674837276001287	2.603751421457991	4.392299997959303	2.173097166541218	1.4586601157135504	3.001131058517632	2.1995493025654653	4.19356334156681	2.5523310233809497	3.8364210899322946	5.120864625408622	2.7820275384136868	4.051786153472186	4.515981259544952	3.1553016538924976	3.184838302574335	3.3683468302205353	3.4742098853502528	2.669459764665455	2.5172133645810146	3.3862452138908052	4.420752473362513	3.3224453995074383	2.704677903440847	3.412645663932604	2.599268954039008	2.8722941245654683	3.079878559089133	2.7671197591968317	3.7331838017930328	3.965639914244783	3.8116671777881344	3.0081851676042515	1.8755760042186764	3.65863246397354	2.9250930068045005	1.718853749067221	2.0423411193154544	3.49751165255666	4.158287971539891	1.9447671015346253	2.4475000607086796	3.1067853171287556	2.6258368613729846	2.198471118400053	3.0380491297298446	2.556739762635951	2.901215820757973	2.9083894140645077	3.117692321041474	2.6156295149781963	2.2979260827221855	2.6114074575757975	2.250979640938133	3.1310148087725054	2.5689915347669174	2.556739762635951	2.5567397626359516
s401612	2.0321292798236548	2.7125122069129137	3.0675066035572347	5.037347593809062	3.189255397526092	2.9670582579305456	2.7371595865509817	2.886838830972786	0.0	0.31591593864601925	1.9394963236335794	2.0658778740796744	0.7859837011309905	0.8202048715201394	1.16574691675031	2.0803963707753224	2.3826168453416123	1.7612224746552898	1.892260444438327	2.7227259044107694	0.49084222642601205	2.167902874915465	0.8460961018281323	4.85934719227878	0.8622780772856464	0.5176451718866403	3.504605111188817	0.9202091818996087	0.9788422649277966	1.1976615030246627	0.6450191400359615	1.7888051294754845	2.0344251368625335	0.9656741797152107	0.9306767094207997	1.5880005742201977	0.927726606711651	0.9278974508089115	1.615489139139208	2.0429686240593568	1.9387618317940079	0.9768213373581557	1.3708584496947391	1.4180125929221017	2.3154226633940804	1.0603264403837207	2.311036643328686	1.0701592346414597	1.2390908287766669	0.9888797885211694	1.0781925416501896	0.7386783097022248	1.9094141452852684	1.4181948098438135	0.9345893905523472	1.4334580376402712	2.392578162087974	1.2693571114471223	2.0866749483504163	1.1855611787242948	0.9475744942909332	0.9391244380034894	2.0234686690146724	0.499892792554778	0.7786922069141068	0.8365041290787759	1.9401360487573562	1.3347108753510906	1.4763798532615646	0.5314323542906719	1.0399894305321367	2.643458791266005	0.9404867394632563	1.2178259634295747	2.3431701549623996	1.2317385541986123	1.9129326040784107	1.8004863063429413	0.4485173074470009	1.155191255350758	1.0736730463927062	0.6839456941791087	0.5984718717778554	0.5217002722579214	1.9379167077783979	1.7178850561989982	0.7943454965383413	1.0885029191618418	1.5551429070893874	1.0356081177931902	1.5782486149875665	0.9718565778592188	1.1383275315855987	2.629371134482171	1.0796350836954962	1.4561815714542732	0.9044724437757259	1.1471037168143279	1.217618728504226	0.4559538344248398	1.3770040313487348	1.0270710778182817	1.6518996623365303	2.2387406426675476	1.369029087577048	1.0460567421867673	0.9023912110149193	1.305658276087762	0.868611805250097	0.9307035982648951	0.8261296039278774	1.163730069260823	0.3243540909856897	0.540440353485997	1.072776681761713	0.7122252656889968	0.8502087482291579	0.8424663168359681	1.0793572344253202	0.9534762865515882	0.8261296039278774	0.8261296039278775
s19507	2.1327299446674166	2.665252618403568	3.270966967177339	4.944856674246965	3.2068854382584613	3.1409619167046356	2.8734012572672	2.775756935252391	0.31591593864601925	0.0	1.9656762433290975	2.214538017241677	0.6701972411004536	0.7231646898620517	1.1081070277277418	2.2400823091016284	2.6090061064872794	1.9118494553232186	2.159358901393157	2.819933283908069	0.40252200907317903	2.2646739211317453	0.5805649653990657	4.805177095679344	0.6117332825533255	0.4886656293481172	3.4115091118366685	0.6967284203126409	1.0093675968453006	1.2426626334116144	0.5321954850354847	1.9762860203017454	2.2621940147756554	0.7446573556201787	0.9300253847924485	1.667071264869852	0.6483588192426767	0.7112151454084524	1.777140039022964	1.9727140978458544	1.9834972201316732	0.6845805402313839	1.086836373104768	1.6219882912151684	2.5043226500932803	0.9660539793994336	2.6076375106419247	0.7618767886735643	1.3983408146044356	1.0370467891965036	1.2859019988415314	0.6408604506765319	2.027804842145336	1.528860276776694	0.691138776385883	1.5181120423399292	2.312048601906008	1.2099524155320607	2.1205650054407803	1.4618334967930524	0.6502633556859423	0.954573059405145	2.1365251897714104	0.7852533128197168	0.7445272800835455	0.538568441338297	2.226990559553177	1.47665937925707	1.3266807113016024	0.36240154623254595	0.7712861800285439	2.5022981846658556	0.6606773680619838	1.150068103097637	2.429206494723698	0.9187654774942773	1.9452347679790205	1.8037174760220485	0.4080144625568093	1.4565418592987929	0.9595571046493205	0.8271735301204581	0.30916532410989944	0.27674222074870247	1.7497045974383958	1.7841628995438006	1.1094086419667177	1.053229233148745	1.3052721708076362	1.1453728330588275	1.7056424304606117	0.7483378825165128	1.129952581995825	2.625586780814743	1.2284414191430282	1.3380091400869385	0.6718533099526276	1.1333402898705927	1.3726293764620066	0.7565288326660331	1.165000291754078	0.8344840953506225	1.468550156289729	2.1117948080773656	1.3711360747859325	1.1565471619360943	0.6485921665206644	1.3901329509129186	0.7512515735144379	0.6983722633769505	0.5286299976428663	0.8890357783074797	0.13648182310956752	0.3828597163507009	0.7804873106692932	0.504039056451213	0.5626601739637379	0.8726751990035343	0.8771148673681124	0.6761700681954196	0.5286299976428663	0.5286299976428663
