	m46	s402150	s9450	s62160	s62172	s9586	s15949	s401978	s401612	s19507	s402124	s62162	s402120	s15825	m9	s62170	m3	m22	m11	s39314	s401614	m1	s401646	s12903	s401956	s62166	s62156	s15981	s401632	s62174	s401618	m31	s402122	s62152	s15827	s9466	s7863	s401616	s39326	m6	s62134	s7857	s19481	m38	s401660	s62164	m2	m19	s19594	s401996	m14	s62168	m13	s401622	s401650	s15997	m34	s39300	m5	s39352	s402112	s401620	m45	s401634	s402116	s402006	m32	m26	s401972	s401654	s401954	m28	m12	s16001	m25	s12438	m7	m21	m17	s15965	s19505	s401656	s62120	s402118	m40	s62150	m4	s62158	s401652	m10	s62128	s19501	m33	m8	m23	m27	m16	s12884	m41	m18	s401964	m43	m20	m37	s15947	s15987	m36	m29	m35	m24	m42	s19511	s138530	m15	s401974	m44	s12428	s12430	s12614	s62154	m39
m46	0.0	3.48252617891119	3.454799040239256	5.733706167919777	3.6015389944735126	3.336410736148859	3.1239861855167663	3.9933090810855467	1.741071065103475	1.0626689503462092	2.3743342482891805	2.590398164676985	1.4524425833510137	1.765231660503581	0.35564445397324096	2.300035917320337	2.736161081725487	2.358200502901999	2.2140100019586932	1.6366341012240104	0.6683211292583225	1.5602458643236952	0.9646636554007029	5.4692126323606525	1.6687890874809486	1.348059872498652	3.759308467350373	1.9676884874585192	1.6568117337614696	1.6393392761809709	1.0210654468557685	2.889117856103625	1.5538614397428225	1.080914248564258	1.4204860317152357	2.463845433901615	1.4088866880252053	1.1259522583866528	2.2728296185343515	2.8945346380456214	2.2536956904502023	1.8768414458863205	1.5334472640629675	1.9225025612089766	3.0418994231575973	1.133862328854156	1.8154001908358353	1.5298610468399703	1.947989424186066	0.18460869795510146	1.6673143120938587	1.3925821789242383	2.7489059233511126	0.8705294147594678	0.9249406841935409	2.175210656674954	1.524840968026692	2.1646697117662406	1.3997453682701286	1.0872460799516181	1.2231825653859143	1.0207807523412056	1.4241030809245276	0.6536077929747859	0.34507424567916656	1.3180065272237234	1.6641430065507492	2.1443939890422636	2.311394735709487	0.6575705309491462	1.5709806623409972	2.202215587699409	1.444723400763829	1.3249824989844126	1.8817186545742968	1.696431076072457	1.1981333049250726	1.6597154108855512	0.7728485084878759	1.634448542062692	0.8054542227113477	0.8970009314811359	1.0446884425653604	1.294838372843678	1.8116561278445684	0.8873063932040774	1.1027789008401845	1.7709275975487835	1.7612385919336997	1.5239736817769993	1.6032393421414521	0.8453640724941675	1.4390529381396475	2.3489814666806175	0.6566836892537726	0.8939835097081216	0.969310631920591	1.782674959586108	1.57955234482681	1.1651238266944997	2.106765862766608	1.7926858455057468	1.4486876680392882	1.5683969400588302	1.9335015596932024	1.6444792575131328	1.1672758077217291	1.8050571337730679	1.7966050772679079	1.0035238752588171	1.3338403001123367	1.3603851881456257	1.0809097331521795	0.7553896345214997	1.4300281544910398	1.384624076193183	1.271888581481369	1.51199861752412	1.041363440603577	1.3344212987363497	1.3338403001123367
s402150	3.48252617891119	0.0	4.796719018430681	2.8791340858242114	0.3136426524565462	4.688230162255048	4.454530297892428	2.8943791484865597	1.856175269388224	2.785144194840299	1.6700469569184229	2.156845363708705	2.8829630331610354	1.8088095648052602	3.6757293643535482	3.8815792201930193	2.9764431153575486	3.0026300354205944	2.4103015545287647	3.736298828350324	3.315637298612862	4.09513938881935	2.919269080111183	4.063666601715546	2.051883629001499	2.644243691289314	1.1801890937352557	2.3155156174779448	1.896526561113838	1.897044742501882	3.5942537988164043	2.715023680577325	4.094365095019211	3.255173474416349	3.305300807350358	2.5985219358412546	2.737852425716401	2.610722078529137	1.77051841463159	2.617686234575247	3.792105097699342	2.6995981722237308	3.4193566613796005	3.5753502448821517	1.7216676706071186	3.9735251051973997	3.8325244236137417	2.311300542648498	3.1985909735989084	3.55442382041851	2.0577375708424266	2.189110836946894	2.999550961257238	3.759405431820587	3.165229737309908	3.264673228098711	4.8451424595325925	2.1971741880983235	4.188138221424429	3.270557640550685	2.7294468800933127	2.770466637686857	4.872950359952241	3.266284930715973	3.1742229454511377	2.8088247512496443	3.990558619148676	2.7790983006216146	2.566186546402751	2.9829221420173067	2.4685704503614128	5.160439770047681	2.949039723334841	2.598866762120545	3.584646374135734	2.6903113257747915	4.555410066571112	3.322175354078381	2.829920034037799	3.2078071322516752	2.9545628401788138	2.638098585741925	3.030627279480073	2.4979477179539225	4.4585339199247285	4.264524988118015	2.8896028180924684	1.7301081522836654	2.9908443234305495	3.4715824317061803	4.021346213884571	3.4045765180373375	3.631434156628669	5.067978114275182	3.1064891305587574	3.8305750425292406	3.02712589448496	2.893424843995997	2.283761488190577	2.7359797769902445	2.3901992046022515	2.6909676220159313	4.089294342776093	4.4269393257230165	2.96062013006909	3.1613348885235655	2.7070100914261137	3.438743909296888	2.0912377737156294	3.2152242912605886	2.7767730939988717	3.320083002620854	2.566199413141962	2.8737624847704644	2.9715652908208594	2.5360938716818286	2.8882094319976623	2.9001574050259533	3.4266956097322403	2.9710887090307394	2.776773093998872
s9450	3.454799040239256	4.796719018430681	0.0	7.640562955752659	4.913457235744606	0.3183925817527588	0.8517858227331127	3.8750888049195993	3.4297029073654888	3.3818514067887167	4.657041744306796	3.163165296645816	2.9134822308230293	3.756786419464675	3.6728665945177275	1.2506717152013456	4.426826724572757	2.034886030819433	3.299386361699085	4.542803129990938	3.079239045002989	4.677781660395774	3.5794013104673508	4.338964375205923	3.892518174328614	2.80196697082584	5.743546794221529	3.487441294839466	3.7991222399862554	3.8426856852063187	3.225219541529708	2.1469265175660306	3.8841106100480345	3.843596627436702	2.713549152520363	2.3567302945174853	3.580901259459141	3.0800878997202936	3.8421615672267975	2.877084281429626	2.3207839763370433	3.515180847412583	3.8572596593915494	1.6343405159614914	3.244238067313014	3.096277864216784	3.1473993688262802	4.015505412134082	1.9028923924360843	3.6211278820009967	3.4043034866202397	3.4877781256775298	1.826488981205176	3.736414378075492	3.610766361167045	1.9176865650385608	3.956258522904851	3.0705668519487515	4.697098471976987	2.5177252035334488	3.6048566884689968	4.148558359944637	3.7420592459747026	2.880385504968562	3.589508554523881	3.565476658057543	2.8768244340516484	2.1387532883712503	3.4518415904419157	3.439623168499662	3.5291542880120215	4.395511199956271	3.579101419430136	4.377252380221798	4.929796273902819	4.10014597270737	3.3329411943137637	4.926019483086612	3.469130184105437	2.274164928345262	3.443690779374865	3.432332927052766	3.503489596813138	3.2295594679220985	3.8951406660564287	3.891334769143205	2.7938072845293522	3.7878235805311937	4.730838713110133	2.205445985640608	1.9599732865035442	3.651300436937479	2.8781246709138246	2.8088250075731946	3.379077256593493	3.9357597572826553	3.4177319160859945	2.6072467952389484	3.846833313675663	2.7724785410221657	3.5435068399327005	3.277149981858241	4.013419207740521	4.153218041427795	2.3678385799696198	2.2647542579029136	3.9715996323552347	2.2333102367514366	3.4579033410788744	3.664968272748843	3.5427345738183695	3.896504155973079	3.3115783797992235	3.62615377911553	3.6734369152628696	3.194381410055147	3.5261962443401056	2.5779578549718463	3.705705684794697	3.5064362659991084	3.5427345738183695
s62160	5.733706167919777	2.8791340858242114	7.640562955752659	0.0	2.738691987823668	7.546321783933566	7.319425321530928	5.3789675054929935	4.434013980418798	5.221565610891573	3.4723306423656064	4.69980736387156	5.505052928927566	4.306314131824915	5.854017817572076	6.695325764723321	4.6209196212729555	5.854755487448395	4.789415479681834	5.385233327940625	5.763754498908255	5.728410425439235	5.2516555908631695	6.379520845932504	4.421065932198743	5.30536036068595	2.0164249531318643	4.884165405103161	4.331071374070369	4.228790754740863	6.012209092126226	5.581079676841447	6.056737834322378	5.46099064093291	5.925843208148694	5.464032421284776	5.140347484546156	5.1706397155002675	4.085774522981867	5.407828044470317	6.519323044633517	5.187385812606856	5.6632809569623825	6.353558030266355	4.477429906355826	6.410751940034735	6.0612079988382215	4.551170896138144	6.002825257628812	5.731709551314223	4.543905136491852	4.688137373503828	5.868160871112045	5.8216707216930725	5.463236829353142	6.088865110030778	7.002485046915664	4.95774502048926	5.85983770771794	5.831314829824013	5.0989774770064695	4.769954056260507	7.020597306844945	5.730171092424584	5.4022449504672885	5.199715853485931	6.317771285161451	5.61824366306509	5.142625322321383	5.329784880120864	4.946589714072444	7.260875834909573	5.3350741407049656	4.499642087276522	5.011384962719269	4.876118664981952	6.879294668751132	4.786679914823161	5.186532969886764	5.822686905267009	5.321227294714642	4.983453524578454	5.396021045726942	5.050246934702588	6.694444869933212	6.3166082350141055	5.422046369622293	4.212143048365112	4.762430936401186	6.174508571755676	6.696624741777422	5.663000838441361	6.183413352337381	7.639936040064935	5.377768069068692	5.949717853992815	5.418170945932817	5.621448968875825	4.450024950301688	5.331462373489013	4.938182184504821	5.2608624558118535	6.238151943996348	6.528331060864351	5.7390935697447025	5.901830279430186	4.88178180522768	6.17280005082133	4.690776367115873	5.49552271535579	5.1824351771103485	5.5309343240900395	5.048045100604049	5.1566601198894055	5.313732274209087	5.108941323362148	5.282465292699879	5.603341152884362	5.6817970459360785	5.372512244597544	5.1824351771103485
s62172	3.6015389944735126	0.3136426524565462	4.913457235744606	2.738691987823668	0.0	4.822990267037158	4.618151645462066	3.1733743536921075	1.9582037014269424	2.9744217465694067	1.637370360339304	2.1278018481762535	3.0925756438630363	1.9960529543975212	3.8091746342775696	4.028452849583572	2.837136877707318	3.189029993633761	2.3722244813303477	3.72743728544157	3.479033312028099	4.116810011089984	3.1045370160726584	4.28289451654477	2.2547560960149466	2.8164420218264836	1.1160654092942512	2.5674462358920884	2.072287472360346	1.9795355718924332	3.7870989059459443	2.8460458054859825	4.09666156850929	3.4496318816532647	3.5097559420110396	2.78578169187826	2.9578079944072475	2.7770563121771	1.7299580992232009	2.8652546867737287	4.017867715763676	2.9527630290884503	3.6468691039258316	3.720113693102529	1.7613387327339671	4.159395731855841	3.8241827890308935	2.508693936268752	3.361999155050012	3.66662144800344	2.115681804862484	2.3618374851471597	3.135911420049783	3.809557819711039	3.3530178543190576	3.4514241423359153	5.004271582074991	2.4311783590880007	4.246112951391067	3.3700840282872293	2.9319296510651345	2.878898608981056	4.9677756975207465	3.379937318890287	3.2979114693433775	3.022939812445246	4.011371060086491	2.9407222217582207	2.839394632629845	3.1402626355963483	2.693966514049402	5.359228484357277	3.1752616207372606	2.7107767536425573	3.5674391280167144	2.920349880330269	4.704298457613094	3.3519992524011153	2.987658210523905	3.2748425081912034	3.126842728035779	2.736316691367463	3.2273185304962566	2.68732997173942	4.674219380570485	4.3548675660409	2.9805489942311363	1.8882850283587946	3.1771739941308215	3.6485792963754275	4.171106333449192	3.586470740604008	3.8416850199016292	5.268494812143492	3.1825158379389964	3.9974112986129384	3.2175868547543267	3.1054799722375845	2.299345029583442	2.85372697931601	2.6540636994318874	2.933852723629123	4.291355169954822	4.619462053989265	3.1638409026276673	3.3445262332431125	2.8849127698578636	3.6386889405577043	2.3155074097202175	3.408748877460861	2.9915068956872637	3.534983777314414	2.7361380680722927	3.0297084125494878	3.1961027661312253	2.7375553958262424	3.1004777557768004	3.0897121326389283	3.622126773628098	3.189569831664158	2.9915068956872646
s9586	3.336410736148859	4.688230162255048	0.3183925817527588	7.546321783933566	4.822990267037158	0.0	0.5370247119832992	3.6351601287978372	3.329103739146447	3.2004424713472583	4.5808004390870645	3.164063417958819	2.705460127110023	3.6035949992409497	3.5370482464708433	1.0761573712078536	4.468423099880658	1.8325217836334802	3.3065865198762956	4.514872818042599	2.91509936058	4.630142274325558	3.3987196655931253	4.1438347189233635	3.7211581196321633	2.6392326467914646	5.635892270609123	3.274016575142312	3.6488123562496666	3.7419648966944123	3.0244770187143826	2.044914752205203	3.8925178046104336	3.6488991943312596	2.494417802564544	2.1800826244753866	3.375474812859572	2.923614373258188	3.802625080924438	2.649004972058699	2.0388379126774905	3.2836138311253253	3.6292724917253283	1.4834518972484398	3.1935785262817737	2.899999934148378	3.20053015103678	3.8386695891595832	1.7261892739300524	3.507369749828706	3.3308375591445554	3.3342478826286244	1.711108769252257	3.6880026919948596	3.423491683275859	1.6972002735969764	3.7997391405560688	2.873679055398148	4.618455983826591	2.440631162433247	3.414010959751942	4.023059847230139	3.675525137928665	2.7768620801782844	3.4624750158251305	3.362648563330064	2.9183356780804646	1.9830415771918175	3.2104566433023787	3.2836834409956097	3.3285406560931814	4.189991527593682	3.361818664940742	4.245052827901053	4.886547521427153	3.890528236888408	3.1927180050455575	4.841595114069699	3.3144385152093867	2.2519913889260605	3.274285363837772	3.3298670536103376	3.310182464709781	3.055635603098379	3.6666363574089096	3.807554035112264	2.7156519249327813	3.6516978804164717	4.542108787476385	2.0084791094404655	1.8089607404724939	3.466529677541795	2.648433769723917	2.5889230288353957	3.3018402684325965	3.762867547817133	3.2300352324841026	2.3896175731287332	3.7873130059679663	2.66544250012716	3.318683899207983	3.050917470181294	3.802683792944615	3.9521213772809003	2.1517636453474513	2.0665492497225375	3.799135382369476	1.9995105102535282	3.273512499347257	3.47158757615935	3.3402021346096196	3.682399030451924	3.1519844163285917	3.47119409849449	3.4577870687222094	3.0089165417243646	3.3224610874335805	2.3862344630030354	3.507375206270894	3.2946987637318914	3.34020213460962
s15949	3.1239861855167663	4.454530297892428	0.8517858227331127	7.319425321530928	4.618151645462066	0.5370247119832992	0.0	3.2110477201711194	3.125187441786083	2.8672385559384286	4.401388160943595	3.1359987670412988	2.3311198368987167	3.305404132725556	3.2951114458495643	0.8762007902602746	4.490851671473747	1.4890491207944743	3.2867610250464008	4.4348598423831795	2.6271282222726358	4.5222059032381425	3.0665756815106686	3.8282685619969214	3.391926558947037	2.3451278114946534	5.394707694848573	2.8773254616655275	3.355612300743772	3.5323907651379587	2.6753410978900605	1.886429143207138	3.8881622418030646	3.2946727495228063	2.111137332351496	1.8727901671234104	2.99683801261077	2.6358690505213955	3.6941878203540632	2.241471069154776	1.549783771904133	2.858450635553471	3.2192757053697187	1.275513478341475	3.0814454999775993	2.571990137440761	3.275664300882155	3.5010080249127076	1.440442522748716	3.3010199604648074	3.174280878600791	3.0413063534484754	1.54672399474876	3.5904699724636537	3.083574983556709	1.3243712745917722	3.546151298880845	2.5103104349216774	4.462028953369536	2.3146427347528022	3.0608267381041436	3.776293767619197	3.575622312722672	2.596926899685085	3.227134405371691	2.9898010660593513	2.986540651537142	1.7207674543654279	2.7674027155502468	2.9977027432271153	2.95549542369508	3.8522852921896096	2.9652596843949333	3.98231141134397	4.773876709679451	3.499397584661074	2.974546851573854	4.6590976032634694	3.0277121434936634	2.2216657103644217	2.964242444053072	3.1302692298653803	2.9585145596523157	2.73341297440232	3.2797607204425674	3.6604391623252237	2.5728181018971785	3.381909106374403	4.184475945996718	1.6826370164776667	1.603496086836656	3.135032183217189	2.252236764020171	2.271148518589307	3.152374922017521	3.4563836245153885	2.8893028077485603	2.0009788603331287	3.649079290265252	2.4714500034034175	2.9022537646785906	2.636889792435431	3.435313671681807	3.607218089449638	1.7708476646339375	1.7269779502733769	3.473786873307289	1.5980553039375351	2.926294595602357	3.121152323200752	2.9676259383822625	3.294658573810417	2.8549344012502464	3.18255619786528	3.0636395805422714	2.6670282866523856	2.9496116058780575	2.0471194328674556	3.1517553412824637	2.90910461891223	2.967625938382263
s401978	3.9933090810855467	2.8943791484865597	3.8750888049195993	5.3789675054929935	3.1733743536921075	3.6351601287978372	3.2110477201711194	0.0	3.017297170501748	2.980418037396574	3.8829492661232208	3.4605833813744376	2.5715698453202096	2.71433307372748	4.092781207084679	3.1800107140770235	5.003741268588218	2.2052445383731776	3.8386257615551247	5.2055159469754	3.401245937280919	5.360165735125093	3.179503425851416	1.689862443456939	2.7680659409085617	2.7395929952865297	3.8498018832675687	2.113061327727881	2.846538060924525	3.337969877920112	3.357755926593335	2.325079208543668	5.217555215349747	3.390472620593807	2.795812411232053	1.9985584775678056	2.750053817100332	2.924417102635121	3.6218929632718364	1.2396770899846972	2.5387061305218506	2.2679855622940988	3.1370397118990634	3.1139939853558722	2.7118962588798183	3.6226435557333305	4.823234562672338	2.968940627971191	2.699758976235415	4.144248054828284	3.3281954397159614	2.8450940871876815	2.466666939495953	4.693353937966567	3.3087601039154535	2.4413042067102517	4.752906601001328	1.8951801211841186	5.237369384324775	3.621039693170922	2.933553616284885	3.845791997506709	5.212284564995726	3.6704480186334165	3.8064539521652634	2.8392560392102086	4.727792784898941	2.4230408692475898	1.7644386298979413	3.3881133655099895	2.538792685124959	4.714756603054855	2.7817387412957486	3.8022902355774812	5.242915761209173	2.867702719794784	4.448311792645665	4.846776913622844	3.3051800429321885	3.6485065990276997	3.253019741553451	3.5531889329062714	3.1033593114421136	2.7400615969341433	3.9012632911851033	4.859622475293708	3.4984884706518105	2.869485913276151	3.632268647716833	2.9761940124182713	3.5822890318552982	3.518688947588422	3.022273454811107	4.065648794611063	3.9732588758517617	4.014757235724386	3.1229269967338786	2.3216051581001333	3.8462028168365463	3.2085596945866492	1.9931690878910815	2.2526292652651425	3.8681868163871687	4.225570342448355	2.299104856706951	2.6841818354359237	3.2872394230652553	2.6630742610069174	2.342226349671226	3.3057658035293103	2.805495169331017	3.2426564290416096	2.9855413953713237	3.4083398491114147	2.858670280647854	2.6265128749427307	2.8800058961813115	2.606482621750401	3.425045441703244	2.8457632915943494	2.8054951693310173
s401612	1.741071065103475	1.856175269388224	3.4297029073654888	4.434013980418798	1.9582037014269424	3.329103739146447	3.125187441786083	3.017297170501748	0.0	1.2859679563246629	1.2829761287708372	1.220181674725437	1.4424377141969018	0.7048724539253326	2.006157502522752	2.3590460007962695	2.0934689730395504	1.801595799451473	1.1464448619623513	2.316945738630256	1.6149518787200376	2.6234749801853705	1.4515050080732674	4.390309954956522	1.0176043817881648	1.0191123588192017	2.4429679030453784	1.3867607876547683	0.7180684823887441	0.49175680903137553	2.0221457666585962	1.8456023905302728	2.430838565946062	1.8803923618792213	1.7882066424771312	1.5798088392840455	1.4810429940551206	0.9457737460367922	0.8495453665553891	2.030337587703833	2.46992667993873	1.6818731023043088	2.1864659250304035	1.977437090646427	1.436738889970978	2.337060296570417	2.1530218878244183	1.2416108460559319	1.7097584226522786	1.8426551689584256	0.34159014732494236	0.71110035672611	1.9329206523018199	2.03819287008491	1.6928072468753625	1.9132647602514135	3.1909332997801085	1.2543617157973432	2.7007097831121176	1.4314824347444008	1.3802913055208785	1.3873260568671482	3.079955543378451	1.4255520102601038	1.4948510655813037	1.500210721323767	2.22499528517588	1.4590116832113493	1.8054981418915457	1.3520010661486799	1.2833634566370762	3.679427678824929	1.6978101780195736	1.4264528736503572	2.374388969392758	1.7250169934897335	2.804108929132556	2.174082416752004	1.218114279581902	1.4748393197088394	1.382533447902236	0.8736316973265432	1.580421141397405	0.9942414231863215	3.034006469401352	2.5416848964032126	1.0399805128209618	0.5475305532273579	2.1034129437517763	1.8510492420497655	2.2910051519245576	1.895477120318593	2.1208082097317758	3.4589858680368746	1.320409807904122	2.306647104636129	1.5226919529048133	1.538089573247375	0.8406054985701763	0.9112138965267531	1.5647933618923737	1.557990487284877	2.67860577382504	2.9683168079788493	1.6163998700130566	1.6228690395886587	1.4211848909832312	1.9630524004061454	0.9951991641216469	1.7798244095397722	1.4694946120317416	2.049186073793589	0.9666742073474381	1.3137597318365186	1.7347395248391122	1.10067177778595	1.5454439740566535	1.371983324139151	1.9871756320931373	1.648696809221827	1.469494612031742
s19507	1.0626689503462092	2.785144194840299	3.3818514067887167	5.221565610891573	2.9744217465694067	3.2004424713472583	2.8672385559384286	2.980418037396574	1.2859679563246629	0.0	2.156009243432136	2.3782347674102735	0.607356099241462	0.9820248733864316	1.1413380340481596	2.134828859186706	3.0484389001572674	1.739713534637666	2.221842938715681	2.4178411973832215	0.634544197542547	2.4450334492139585	0.26316420893092074	4.530316496805273	0.8182166999305314	0.7023425755442815	3.2197185650282827	0.9122837869050745	0.9239221037958282	1.3073610092240258	0.8178222805025949	2.3301697288881758	2.4809998565712905	0.6776286996300713	0.8512662682532878	1.7540576401167047	0.3955156750087032	0.46508748383427934	2.0803848297721466	1.980068909129083	1.703814916775912	0.8390418821795556	0.9358636621967364	1.7542687675113406	2.5042382210223644	1.2078169908464162	2.4878987658317446	0.7413329362236082	1.5403445301018666	1.187928995467153	1.4349636127470549	0.6301665698457802	2.256610693267618	1.8378574540332462	0.46549057578856085	1.6455025955229623	2.116368348011167	1.222975295435479	2.2720972897672844	1.3344052759726441	0.25761104918097444	1.0903574411237686	2.408447385961407	1.045358683726172	0.8509019281182784	0.33583770560705517	2.370374273334568	1.594031716959856	1.2672747889176235	0.4192419485944888	0.5147187927947735	2.448297157432168	0.5213024422799677	1.221415469119106	2.5157771568441474	0.8368478725765158	1.840854012751568	2.121953206512702	0.3677558226965408	1.7792346142311382	0.2742243791805037	0.9326089903817695	0.3028228390599965	0.38103339713512524	1.760681097603447	1.9235190645209856	1.200822000485939	1.1088447075624805	1.3560380224294404	1.229413216559018	1.7191938524816655	0.6968921209249397	1.0204860256299169	2.429885198323225	1.2348471964918553	1.1986019997004485	0.2535209830726623	1.0091114199601627	1.6256911861433012	0.9929937940469205	1.0459809203102084	0.7683129867224543	1.4259787299465205	1.7465336999492744	1.2437723699211773	1.1509171476989122	0.607003646229587	1.3103135044635708	0.8149260430301857	0.537544351536032	0.327253942603147	0.8132881390211132	0.3291345599474299	0.4628484371659244	0.5499055946305653	0.41289867777030426	0.326213746241128	0.8621700691097367	0.7369020289617195	0.42682847078626246	0.3272539426031472
