	s12903	m41	m25	m5	s62162	s62160	s19481	m34	m32	s12438	s401660	s401612	m3	m1	s402150	s401656	s39326	m40	m11	s16001	s62172	s62156	m7	s402124	s62152	s15965	m46	s7857	s401652	m39	s7863	m36	s62174	m45	s62166	s39314	s401632	s15987	s15981	m37	s401654	s62158	m2	s401622	m28	m21	m8	s401964	s401614	s402122	m9	s401954	s19501	m27	s62150	s401996	s19507	s19505	s62164	s402112	s401646	s401618	m6	m14	s138530	s401616	m18	s9450	m4	s12614	s402120	m17	m23	m35	s401620	s401974	m20	s402116	s62120	s39352	s401956	s62168	s9586	s401634	m31	s402006	s19594	m24	s9466	m44	s15947	m26	s62170	s401978	s12884	m43	s401972	m22	m29	m13	m33	m38	m15	m10	s62128	s15827	s15949	m16	s39300	s62154	m12	s402118	s15825	m19	s62134	s401650
s12903	0.0	3.859861429734428	1.5791765528664639	3.0728521581345913	2.9141348482693727	3.9684161806703697	1.880372466869635	2.0230319508475825	3.6610795978262196	1.8179602592792976	2.749984483728255	1.185713186653398	2.4652692310921145	2.8142586374364336	3.0472314896482087	1.5951864173135606	1.9239121961362295	1.2761877852926353	2.764928584766381	1.5060536380985647	3.047163298813792	3.696298295145432	1.4617849390898383	2.902874074335379	1.0242808230514888	1.3784133430557157	1.428978506085439	1.9114762809615844	3.6592796693428498	1.7754799996717843	2.210705154388253	0.8543304372137229	2.916302706961832	1.5619277264567406	3.4281265334426063	1.2555769508015904	2.431022296938939	3.455134706136181	2.798312337507827	1.2781018324214988	1.4934001364192115	3.0582940169120865	2.3591512552096083	0.696299395609101	1.1506780411671593	1.9987251479649033	1.2972623362887965	0.7696873188923248	3.031108267484633	3.000397231135376	0.5481736046631307	0.4391274938332294	1.2233950313223383	1.6978821983919545	1.1025838653277336	2.1925279490139613	2.4896540236020708	2.6489827582507224	3.2609331436727236	1.7433355940606852	1.177695798267279	3.5979270426417513	1.3618686007390561	3.5189314755992767	1.7609697776586892	3.167964975330136	0.686350988433425	0.4983571275135996	1.578692483899228	1.2531710001676835	0.9477521647553727	0.871339972938085	0.7083631208794908	2.048763494461732	2.106418693459675	1.3581654007557316	2.4587265182515243	1.7516625412662852	2.4272406371456716	1.9297843431680448	2.698374557908467	2.194135555413741	0.9826876283369	1.8946182905782576	0.791712582232776	2.0286826394969704	1.856175795721342	1.4251798246535532	2.6375425546380757	2.625407190955158	0.859485923810108	1.6145362771588285	2.0710232197894256	1.5709361856508135	1.9380116870245487	0.8843705596177178	1.257977690650267	0.7610779027751395	1.6314019092510956	1.4640022655157041	2.078897524243672	1.4798580558179626	2.4534794330554073	1.1132007902061305	2.2544218213460856	1.5306461816682142	0.9296104723317948	1.4081245351207512	1.8793139915768533	1.1918776933285244	1.6266966944669679	1.4375061733350485	2.3030627325333315	1.3926110263633409	1.437506173335048	1.8676790222919126
m41	3.859861429734428	0.0	3.4307724805545585	1.4871789687770616	1.6043033163652207	1.2574399490757828	4.899149465360514	5.631888643370143	1.5484146347216354	5.02509040412292	1.866042382594355	4.542941024882454	1.5097848198877672	2.027924186180954	2.5520532083873086	3.3971823032388	2.672812780589532	4.107640814067039	1.609109125349209	2.917380423788435	3.347450573045632	2.6351011514287617	2.8509898226676436	3.125871074845772	4.200284824860875	3.0844284168803178	2.4953803353373942	3.0165575006739873	4.049086474142534	4.973382235834259	2.982023774519454	3.237392633015623	3.314408721979064	2.4516267911918463	3.803722900051034	2.61545852079587	3.8867368830024773	0.8558753276959639	4.619799066514672	4.13710473161347	2.659808843582605	2.5937571924705476	2.3771971792491984	4.222130140391929	3.4924362081889746	2.0028423360568275	3.335359111607839	3.18706637811089	2.9051361693129674	1.4939947811174965	3.9787401287723143	3.5319885071732435	3.3126437759085268	3.998828259092936	2.770734706893154	2.4674515945049182	2.209389605601361	1.584247179909369	3.9366422858309833	3.2161109944422117	3.3601927918410364	3.4446740674373046	4.178610747971846	1.5581356661301267	2.3251349852596332	4.281138514012809	3.8704165909790174	3.6503491693192514	2.9298718689011487	3.1810691050025666	2.988828584313053	3.863242754215097	3.494179984457812	2.3279673665648764	2.6320525900895575	2.6301774530544515	4.182668213596208	2.3901752340855196	2.3614338278391953	2.0228179705994793	2.674894670588984	1.936198978733629	3.0468550324266324	2.4287582364045894	3.2774406708044057	4.020100335788267	2.1518823246430756	2.5250543054502885	4.186122295279177	2.9869213048782566	3.2571203546739893	3.7030124610369053	2.9278362805979126	3.2285729451938248	2.353760264371735	3.1104276451383472	2.65218474382024	3.929860244337172	3.0954452876037384	3.0764886055991774	3.8838174512120833	3.479793565172694	2.496684683212899	2.917715686797325	4.12433172892986	3.023441588515879	3.428959152792567	2.8892905643165356	3.1820417245024406	2.9167837564805303	3.018669944180698	3.2925738179208723	2.8362712332130617	3.3803019091803623	3.2925738179208723	3.0278261527969077
m25	1.5791765528664639	3.4307724805545585	0.0	2.227316110355752	3.1863613768744217	4.026136814250153	3.347067731266839	2.601038171199694	2.66820209827744	3.213293561978006	3.1506261044265873	1.696178017671985	1.945232575159675	1.8337108262904418	3.752582318524596	2.697241794174733	2.6987741380331207	2.5992229131335316	3.0183734445604973	0.5587986647620836	4.024844138577621	4.340383159761536	0.6966997056086693	3.851475689278093	1.0469938521421793	2.312139283743708	1.7736174145357786	2.9015747227999413	4.769094401065672	3.165328965206704	3.1770790853463295	1.8367573630964114	3.8972636136098893	1.9900071750261923	4.520409256126409	1.5379137711525417	3.6900691378647434	2.9940541086254817	4.175525692740558	2.63370842711929	1.1054253828922451	3.7791949728515672	2.994992799108153	1.8126053406890432	2.345854181337153	1.508006011024469	2.3749836173388967	1.2450086566762613	3.8781718875866544	3.1775138318560354	1.9828079116620516	1.6668147556250008	2.3900797207995863	3.0285362445447137	1.5651169772209306	2.8708737811743994	3.059260068193033	1.9474661300943512	4.349823892445636	2.8459797259183808	0.5109561311535086	4.545140937220322	2.8394607695887726	3.7290597568958455	2.253024370345595	4.411091828082154	1.8183718860107323	1.807403108094547	2.388175741615008	2.326896220904386	1.6622175897332352	2.267061253879086	1.9892125994136745	2.6403616067586335	2.8944369828084033	1.9455143952363632	3.7884932830500073	2.2841531006550375	3.0792472748248945	2.12437305918917	3.4797626746028563	2.4836544110900824	1.8913476020531177	2.5222260498073967	1.888736509397222	3.4015734993427107	2.2000613642175755	1.9040998733023156	3.9650447290806476	3.55550271221215	1.941442818031809	2.9192547044141093	2.9154733755068536	2.6708149499695484	2.521103628917534	1.7812447607863484	1.7414014249231158	2.2657533112369777	2.6640316635247427	2.465782795919874	3.410574568653902	2.7341375657232057	3.129392517755875	1.209065669253909	3.6189061935679465	2.535890762073254	2.169530812405246	2.261908755332477	2.96259548713811	2.050628952622608	2.58530102071493	2.5596159050966536	3.1952818404375183	2.6003760421826247	2.559615905096653	2.8562755913455926
m5	3.0728521581345913	1.4871789687770616	2.227316110355752	0.0	2.171063796950163	2.417088207992782	4.5751071935876	4.714346252186498	0.6250408890723745	4.61428508880474	2.325908967176257	3.678087414983596	0.911287626401153	0.5535978336954436	3.100302435585774	3.269030962002751	2.706929660348374	3.7421885336540854	2.031140823124986	1.8173186399847627	3.824469804827164	3.4437645203760945	1.742479358454751	3.5388030037635843	3.151578648267502	2.851371111623737	2.0545548364383297	2.9551580375905133	4.597733339274166	4.561551836841374	3.0995898691497077	2.7360166901318856	3.747647648635512	2.149627182420916	4.2994581436499155	2.0172867169956623	4.018466498759215	0.9781826012472479	4.7320677581874335	3.772403589782263	1.6214087520120501	3.1353594091192605	2.645623713660875	3.495756204776873	3.167661588621908	1.1075649618444094	3.0735616928296916	2.3297377499408767	3.3797523672171406	1.9596776664535889	3.3646646551697637	2.87854290763291	2.9444687957342306	3.8357159710605124	2.170067523028725	2.5100539296253492	2.4753485945204385	0.44804302537208585	4.386305849143476	3.1417636111846914	2.2330013286919423	4.028970507554883	3.8491818717663335	2.352845125149305	2.1301161610158834	4.609800868806747	3.2491321210523267	3.0418868712647646	2.7827748640641445	2.804902294443429	2.3457278819781577	3.3994146816248234	2.970307134514767	2.376042020722596	2.742373889224614	2.1966246731302075	4.269150051584371	2.2445555020017367	2.608595698151787	1.7070471815429764	2.9936876795094753	1.8568903091784361	2.558827058191	2.3238132562890357	2.7529049928802887	3.962468308928223	1.9186838299005118	2.077865139190065	4.325158403517433	3.286735662681452	2.707690034936534	3.5486526050708327	2.782158712907835	3.092013891825588	2.271051992314278	2.5871357246692748	2.1016852040553156	3.4130636202829914	2.98440892280715	2.7684535377336945	3.8584599818165346	3.2499644850669953	2.629076889880216	2.0065890429768416	4.136099570458728	2.8240443556608925	2.943625713880937	2.523244468400497	3.1441910768161767	2.5165253714084437	2.7628899536582088	2.967276769223207	3.0217780924899786	3.1015345324272956	2.9672767692232065	2.9258253542175185
s62162	2.9141348482693727	1.6043033163652207	3.1863613768744217	2.171063796950163	0.0	1.10912314564221	3.5504449749356994	4.813419291661172	2.625972334962767	3.7587733203482987	0.2700503229077813	3.7843230230367806	1.579209606756097	2.4830946043193856	0.995460282936133	2.0551105337595517	1.2658746492512423	2.877142205390383	0.21532973285001464	2.6326879797707883	1.8031575522141967	1.3132997829905395	2.5220432136422706	1.5305199113262038	3.5908930427447863	1.8522378512602575	1.592003688241536	1.537203865312987	2.5203418951053282	3.7131980593353076	1.4190289101564952	2.172114064239524	1.7679507799470477	1.4414401055079757	2.2415656139698563	1.8000227238806459	2.3288886549977668	1.6330559821332076	3.0790332952335935	2.889561700249157	2.2347407299090736	1.0395745615519085	0.873945050013104	3.2807340069429656	2.24514332384808	1.791583362467919	2.086929484254626	2.4073080821366664	1.3347410611577384	0.517348195724783	2.8989782705964937	2.5265125148307854	2.0130102388107893	2.6099146466627716	1.8830828870024003	1.0216111348626842	0.6590684846396085	1.8973593717132533	2.444639786741671	1.7496273014642052	2.9181801607150444	1.9485771411572945	2.8263061988302782	0.7845864046997744	1.1531874910111821	2.7221480949185572	2.8842076077576504	2.6004533719598006	1.7060269906164716	1.9067849756761666	2.0213415735133196	2.6666533633511618	2.350099636525584	0.9335749155183738	1.1244505547419459	1.5666207461990846	2.6427642647035157	1.1971527674671811	0.7955730348195738	1.123338040765467	1.1063749191080463	0.8357191007235386	1.9454726274414686	1.0989937275392874	2.1694413290938206	2.5012369020093357	1.0908638116818155	1.5154369833336847	2.608228187397373	1.3845409740707249	2.1353429178141154	2.271414686364618	1.5772181495128905	1.82834161593131	1.0307423468791264	2.06222009747246	1.7032833196457369	2.721390646622962	1.6864146538420497	1.761393467080101	2.344969980599301	2.0652070856745035	1.048106393947651	2.2559202742874835	2.583526254521863	1.648272152191357	2.216261074813361	1.6624143626238892	1.678900168166825	1.7504004685662364	1.675493161192505	1.9567293203304714	1.2607167632254412	2.0050989819026714	1.9567293203304712	1.5736360035087154
s62160	3.9684161806703697	1.2574399490757828	4.026136814250153	2.417088207992782	1.10912314564221	0.0	4.639372656459562	5.883403692268863	2.661707290851893	4.860668265081143	1.3354205586300913	4.835352935595467	2.1775709460351815	2.86283668852886	1.6840558278714992	3.1515682897997026	2.3670313841816943	3.984054131504679	1.2151871899654465	3.4732259211695022	2.5788944859920195	1.5410525902153978	3.3584202049291756	2.306062401746033	4.578071493781034	2.9601788018173343	2.6276389855400364	2.549772838145966	3.1389623770391806	4.815827149207729	2.4088440416491648	3.2614795042646487	2.5929022005984135	2.5046952023839695	2.8806741917016394	2.808830081303206	3.29204183192408	1.542425758598932	4.02313771748294	3.9964205252363283	3.0608899430911096	1.7141421995873682	1.944158275323397	4.363664326203924	3.3540987734169954	2.527146568214339	3.195342925442376	3.386982344921576	2.020681962376408	1.0191646326468269	3.994811178757153	3.600197967320414	3.073282843165808	3.691953690832477	2.9123142031184046	2.0049215823744615	1.670501857416651	2.3359385599534823	3.2242078263364315	2.819799479903995	3.8086717472766973	2.406434490790498	3.919547193171784	0.6171823053121909	2.2233635930810283	3.545850926599843	3.9734420484656354	3.6881191118946655	2.80726771562062	2.9602921038398384	3.0429758216661487	3.7731544075228225	3.439313958490239	2.0373509128038836	2.1974043108786026	2.611553981914596	3.6175736445576603	2.290211185076034	1.8120094709646517	2.070811111481357	1.9204564986881099	1.789569462952959	3.0212683556139606	2.153872293796228	3.2514515379099835	3.5234124428835196	2.1136314197395825	2.545041076549822	3.532791337347334	2.253498204352556	3.192245855394766	3.349752782492377	2.457286832607898	2.9228522100291205	2.091361882756081	3.1404349242958025	2.721774372621411	3.8164799948478922	2.78034297129825	2.794053020152703	3.3490871764133208	3.128109538923275	1.9028919056085158	3.1757309169481163	3.5792172207328377	2.7267041690100413	3.2822508177959153	2.6962038649087	2.717219127459445	2.8292134263983506	2.683788967583517	2.9795876427798738	2.254963745574731	3.065858015158846	2.9795876427798733	2.5780401696785304
s19481	1.880372466869635	4.899149465360514	3.347067731266839	4.5751071935876	3.5504449749356994	4.639372656459562	0.0	2.4474814430801652	5.169331093247938	0.4139096405056725	3.3083159909823205	2.1367328356547617	3.774534849086671	4.462333990546279	3.198025344136459	1.523532328249438	2.289183587060243	0.8755086474431246	3.4953384576505186	3.212954667366104	2.6067024562089354	3.7632368584238893	3.2023344445635393	2.7377228306292927	2.6216238511453263	1.8192951857751416	2.5387986889356133	2.269873073680418	2.886975064229657	0.41973973239697504	2.3482020280132043	1.8432110391073324	2.4939240897583828	2.4993797067638357	2.8456684823633847	2.5595533178087777	1.6882930227991664	4.709595939116203	1.4683688564777846	0.8260141655168631	3.188614901359701	3.197062388720335	2.70185233856003	1.6080518370637733	1.4316080493592176	3.4769085124267667	1.5702020291310839	2.490141825878906	3.031461779023455	3.8203027980870865	1.380957664877611	1.805821021909513	1.8843892940900417	0.9599739337157641	2.4132138411326296	2.803288890110164	3.0164606900795734	4.132155264633237	2.4030550435694495	1.8577524508107541	3.0170081998996823	3.3362784490581583	0.8034724220830001	4.194483186421128	2.6451241736826363	2.139616763897119	1.5526081852608327	1.6245487453755374	1.9774601848433158	2.0235841920252717	2.33130857389984	1.193568535452573	1.6533343360958548	2.654570366937189	2.452259671481075	2.455494755209641	1.4496828774960049	2.5282628040361064	2.8669222453410663	3.0453420462016676	2.9591456815793036	3.1503243192213444	2.047491560562487	2.6512857038488216	1.8564201480717886	1.3231050426003506	2.8534462447288425	2.5650914795810857	1.7169502767624627	2.6303302712890866	1.9980116922996423	1.3083699058220286	2.715627445504995	1.7372350382823223	2.7029750834846893	1.9953865832192974	2.517459664875747	1.2668747216018057	1.8829809080808377	2.1776425934069827	1.535504702041981	1.6737945268374868	3.0128754341263915	2.8011910737364625	1.382527188620193	2.038123765408037	1.8066444288314556	2.3196657209720333	2.0210509148036664	2.1302557099601938	2.3010687070924787	2.053563826609945	2.461126282350878	1.795743302060959	2.0535638266099454	2.2905493689628154
m34	2.0230319508475825	5.631888643370143	2.601038171199694	4.714346252186498	4.813419291661172	5.883403692268863	2.4474814430801652	0.0	5.2117101554308425	2.0803750328192403	4.652262652402764	1.0969509947702225	4.1560221546736225	4.380882155889823	4.912935965560789	3.129868637022917	3.7212113944042806	2.3442018977010384	4.68824614141152	2.9003471980426045	4.652867105436177	5.5530986933012665	2.991383566476474	4.666682510177312	1.6035790071722644	3.073046521745928	3.2599149171379116	3.8084012606084605	5.151797048286122	2.069710289556862	4.04834728404102	2.654209535103059	4.516533891629667	3.3832519934721113	5.032993222743738	3.101745875694447	3.873855112813935	5.296484629113735	3.881950117732959	2.3577678972970846	3.2392501641481135	4.925570485993352	4.17699316523132	1.542664239429212	2.75458211647986	3.732206468802721	2.904588530990876	2.6739054918683545	4.8675436370388185	4.964862826995879	2.0012246016281017	2.3268462369736067	3.133868172732224	2.9467180708200726	2.992371104952552	4.1614118960143625	4.422413988300614	4.350139227053818	4.615701012115242	3.509637318646852	2.550535113209235	5.367700097335528	2.6215999511766093	5.48372303872031	3.6855870345373845	4.476209007223311	1.952122229776558	2.252460877093243	3.2416722514037515	3.2038354823269315	2.947952403990648	2.3422219696723414	2.5690573663415144	3.94052089218515	3.961323269284842	3.3222082001779443	3.74411285350095	3.6194198119946854	4.339867197165139	3.8694803637671193	4.608632806921932	4.160207001547947	2.9213192893169317	3.8571148064851886	2.7102206237821234	3.4528107163822415	3.7932777584072452	3.380068431946765	4.007235157574157	4.443858387399191	2.8523317138004454	3.1489969153886146	4.049549680280991	3.302875822888976	3.894422729055456	2.7695136840854495	3.21608275871335	2.352060692563783	3.409268256588472	3.4232856803179947	3.602453923593243	3.2527137408043933	4.431889233576798	2.9733452219095184	3.6144268355879365	3.420522575525673	2.857088814039568	3.4033742299213006	3.689842720863504	3.134444093069849	3.5903059949204374	3.3586809388251333	4.140874181613357	3.2370247490834245	3.3586809388251337	3.7824295734953255
m32	3.6610795978262196	1.5484146347216354	2.66820209827744	0.6250408890723745	2.625972334962767	2.661707290851893	5.169331093247938	5.2117101554308425	0.0	5.197000894594061	2.8149206381529575	4.184381015152671	1.4389855402721219	0.9670048660789278	3.5915954746557723	3.8488531712849943	3.275756593708665	4.324571089444705	2.514104008609316	2.3204069705542647	4.339996647871818	3.867754638178158	2.2778232790870883	4.069551073497691	3.6518963260100357	3.4353587096653784	2.64470059981886	3.553595390166037	5.109405647307193	5.143472930049985	3.6760301473800774	3.3313683952239157	4.269778552556467	2.7317359210569716	4.822114866682769	2.614996169210893	4.595656723266681	1.2147334184036396	5.310725876249003	4.358502649234913	2.2092539473988113	3.628605799497862	3.1787215759730922	4.053904739215298	3.7618845013525357	1.7074418604379733	3.6598792763458934	2.9278443788852	3.8930698269432154	2.410997414396445	3.9541926044174067	3.4747563327150273	3.56525735750599	4.424517319709913	2.773372472313292	3.0852847500253997	3.0119417719277743	1.0682126580911322	4.902741688336818	3.738442629004087	2.7525406387424534	4.523232572706368	4.4554138125916385	2.718854458272354	2.723636064897612	5.1598484922626495	3.8168988502217767	3.6355746918415086	3.351746316349615	3.4260105808974406	2.9637775356721487	3.9969572041421553	3.57917443590119	2.9436966081000024	3.310266651802478	2.811532803223629	4.8506033000287525	2.8262193136364395	3.1529834396253573	2.307973699998477	3.5301222476394365	2.4317453111069165	3.1703339145647242	2.9167071142994674	3.362408899214403	4.562877041610366	2.5140240813291355	2.6920241867999204	4.906774278333049	3.8356193062569286	3.3274937927932755	4.148797422305835	3.3775135388205513	3.6879648708168533	2.8595802055527666	3.1898034160547666	2.718306444313876	4.021878482424831	3.578792017872198	3.386924246081746	4.458029227108312	3.8638512116392247	3.1859112337931705	2.607636064238946	4.729669356008394	3.431847206361721	3.5646870457399205	3.14310909201287	3.740846172986451	3.1295333999528623	3.3774208609386056	3.587935578886211	3.585692437021972	3.7186442374710307	3.5879355788862104	3.528223066129216
s12438	1.8179602592792976	5.02509040412292	3.213293561978006	4.61428508880474	3.7587733203482987	4.860668265081143	0.4139096405056725	2.0803750328192403	5.197000894594061	0.0	3.529608769467861	1.851210642120979	3.823199076766709	4.471957999861185	3.493987468309702	1.7152295437118892	2.494031385573202	0.9176308510484436	3.6952726201355315	3.138235799288769	2.935216781081158	4.074807782435409	3.1531621680076625	3.0705852130280484	2.4194318470843195	1.9518505924708238	2.6105071262764246	2.5349485543604895	3.259713579365437	0.05601801998579703	2.6381467173189503	1.8905836522294026	2.815270681591527	2.5973301698502573	3.2215243934942848	2.604608893449259	2.0502826501406806	4.830740574105322	1.8533380623549947	0.8903798261674467	3.194042274176289	3.4971914794432513	2.9261321848155295	1.4144628327537652	1.5568001013545143	3.5096550283997674	1.7014288076218707	2.4899154502619427	3.3547057336151007	4.027176717481974	1.3255111741519836	1.7997970783862183	2.074541463510151	1.223651928501282	2.4624210260532062	3.0406297137860903	3.2550877348373097	4.177331195169587	2.7342898124865003	2.1170428164765673	2.9263165968296705	3.6999162505965186	1.0377520808157072	4.431282909859548	2.796842709366605	2.5138929536903025	1.4437413300663822	1.6139186347471621	2.1118835600813792	2.205223150239856	2.4029891042656795	1.2473199647653515	1.7278313061839463	2.8511740507893704	2.6909083741349042	2.573790851191329	1.8265498349642437	2.675638080475796	3.114448776911285	3.1743904141401016	3.253880815969158	3.320369468561613	2.142383599371457	2.847488992699075	1.9334113431710702	1.6866951747673824	2.9952825322874963	2.676407847188733	2.1087953277397595	2.945644352346259	2.10230060430164	1.5836913583778542	2.9668994929680763	1.9608977368513891	2.895301924141106	2.0560052677573872	2.6057707709872053	1.3430033967856083	2.105726215091134	2.3832177304676767	1.8931957221658196	1.925904885696572	3.272521804378917	2.816318512920746	1.7638228379643894	2.2514440833129097	1.9454088365291975	2.4926436441255184	2.2988885946907374	2.2599064250483227	2.5229733351730914	2.2729696101042025	2.742414411206259	2.02408224505101	2.2729696101042025	2.55007071714768
