	m46	s402150	s9450	s62160	s62172	s9586	s15949	s401978	s401612	s19507	s402124	s62162	s402120	s15825	m9	s62170	m3	m22	m11	s39314	s401614	m1	s401646	s12903	s401956	s62166	s62156	s15981	s401632	s62174	s401618	m31	s402122	s62152	s15827	s9466	s7863	s401616	s39326	m6	s62134	s7857	s19481	m38	s401660	s62164	m2	m19	s19594	s401996	m14	s62168	m13	s401622	s401650	s15997	m34	s39300	m5	s39352	s402112	s401620	m45	s401634	s402116	s402006	m32	m26	s401972	s401654	s401954	m28	m12	s16001	m25	s12438	m7	m21	m17	s15965	s19505	s401656	s62120	s402118	m40	s62150	m4	s62158	s401652	m10	s62128	s19501	m33	m8	m23	m27	m16	s12884	m41	m18	s401964	m43	m20	m37	s15947	s15987	m36	m29	m35	m24	m42	s19511	s138530	m15	s401974	m44	s12428	s12430	s12614	s62154	s19509	m39
m46	0.0	2.232388085580726	4.459108086843459	2.257526715025151	3.0720076115744757	4.375490474573122	4.738442446289234	2.7022794139479354	2.0389489626776385	1.7888815622990606	2.1735209491930383	2.0122193783411886	2.0386498053941935	1.8715678364355972	0.911643658661007	3.299373862287652	1.116651809935785	2.939780219205129	2.953652632813979	0.6568026085055328	2.0572792687399084	0.9650406239642342	0.8286121172729941	2.453511529484093	1.8094922537129947	2.9203831116286634	2.200101470098957	3.1552321635530935	1.411215415756496	1.6890802143529904	2.2370513372110308	2.5793704351650364	1.8842801303584966	2.6831001389012394	2.234890698671463	2.9084812365170114	1.5177380275609311	2.200350524427983	1.4278772199311769	3.467724585631527	3.5902580870655143	2.0480854279381284	1.3411953303225803	3.227270927644767	2.830204465666079	1.9116996679498222	1.9668524581142062	3.2972785972981025	2.6411665110225946	2.0114396842876663	2.496773424220563	1.2707122764664593	3.857687945336316	0.7227656925135353	1.9792578248436794	3.2599541986579044	0.6556282557773581	2.643689589580138	0.8836411103054566	2.03372390093037	1.5151812869646615	0.7343404083142312	0.4293685375590761	2.206612242476505	1.1367079201646133	1.8103211282502245	1.152992305550303	2.339141492673327	2.4220464794771144	2.2599348866593503	1.578375510179555	0.704507079316339	1.9331229781187078	2.0787943210585462	1.3900643264724633	2.086620629820819	2.300829747070786	0.702610795208554	1.6724736062981729	1.516309532065931	1.2811430247269326	1.4711939087920867	1.4845030964677988	1.747298052986589	1.8202478275004084	0.708703254676	1.409376000669228	1.9451385632330511	0.7559906476950005	2.4744009924819457	3.218962171722856	1.066820220271414	2.011104991457813	1.6853152935749507	0.981291022661771	0.6893837739394573	1.5901550284172514	2.9341025723067915	1.6211631972392995	1.6405670372521142	1.2546844509191344	1.8733010196623057	2.193509103066135	1.1248387425236221	2.7985081249554016	1.2904196199818465	1.2149680188776553	2.689896090822946	1.4480332353328271	0.7997591926446062	1.9156885420726748	1.3994099462626104	1.3495069732757914	2.5394547426652614	1.867431948364039	1.8409405583804308	1.721654777467639	2.360072605623956	1.8250220110689284	2.3959474669170935	1.7233646703633951	1.2876801397947861
s402150	2.232388085580726	0.0	3.79274118410055	0.7683056974880973	0.9239217689864625	3.837800104858491	3.8401310089776457	3.0484980123579795	3.754275709330745	0.7343689586149308	0.6906070323898941	1.5242371767214171	2.659093571447327	0.8272232384256609	2.3401906845076175	1.875373691669767	1.5567361493137475	2.941416893150664	1.45899980341929	2.5124475625248572	0.7102487549684761	3.1833227347574176	3.012566348874184	3.357958213299125	0.8715648809555134	1.061730991970291	0.28292261773506017	1.4377616386149854	1.2295347322580532	0.6480823237925073	0.5324410169827797	2.1054263743235646	1.068444041765808	3.91709420796186	1.6989853570718905	0.9220696009996806	0.9374986552038981	0.6135747381176346	1.8976466361488933	2.8030103840599074	2.8631084342751296	1.7986343494886	1.782318834782674	2.445031722277992	1.1309087339502304	0.5846038788712802	0.5328845968836392	4.0603738700486325	1.5120437143134513	1.5718070954286334	1.1731613474829703	1.4871945960911397	3.432124963709304	2.880642115866152	1.6965531955568052	2.507997167942373	2.7452688770581197	1.6301218999048415	3.03602732207429	1.9000680492975919	1.3362029938474045	1.5713159895990412	2.2316157301345028	1.9330584806659814	1.3687564530219265	1.5498672890060912	2.031107658980169	1.9366369097746057	2.5949641656132685	3.047659996696119	3.1173375511388812	2.2857438515756265	2.043865892085357	3.756657081486132	3.5813752295425862	3.805886586423439	3.764749615516379	2.6471620184312386	2.515942111404782	1.834719556139755	1.814554049033815	0.9830047371505638	0.8896641338956203	2.085230627762259	1.8423150972700943	2.6438859903032843	1.3664302526133116	0.6136551722106656	1.5284552389038162	2.4216565635521015	3.086530692320243	1.6588064355035113	1.3469350558724222	2.475329002467673	2.6364723312119946	2.0333462939831737	1.7720488017500224	2.3294448649009354	0.8762613103438199	2.6507210597048476	2.6502397807652294	2.535940221344301	0.604219022944086	1.3865411935990035	2.2459824497028036	1.9619195722932323	1.6160153128530592	2.113892696638639	1.0711141486100386	1.903927610254345	1.5386416853737837	2.6292193226052443	1.5906218846465865	1.4139453326779203	2.317011998051203	0.973138020297235	1.7228252422183343	1.9089290588430332	1.9716778881005366	2.0650633448868936	1.702884261624788	2.3582208188279545
s9450	4.459108086843459	3.79274118410055	0.0	4.493765748973854	4.158258265218404	0.2739823363402673	0.6986439711340287	2.060851442329875	4.035932493389767	4.2192779143743735	4.463065083719699	5.196238624688394	2.6588581048951734	3.2214486686355293	3.6860945326443972	2.045163012350586	3.5892296231011462	1.6854002038097076	2.4540220879983248	4.064498108262062	4.439237332764842	5.025436961808453	4.876254462228987	2.757632155862551	3.4027436565978095	4.69664615773681	4.0652534001265215	2.595869765554773	3.2869085902563664	4.01825750896173	4.26549896835276	1.9260685715624668	2.9732142644416513	3.2842237223903825	2.3732041839914952	3.1173368340246435	3.9046779143093913	3.1983451092475224	3.0357743456420554	1.0816783090617776	1.0680330283742197	2.466716063631189	3.1633973436990526	1.4566325114417227	2.8026108833844434	4.191575460191	3.60265398616578	2.62152646330802	2.3091974544097984	2.5900953366348083	2.625572393035288	3.3035293547730995	0.9336082074207014	4.542652882126302	2.7784666206608866	1.3818365454649484	4.397243631888925	2.239516709010961	4.610336252739464	2.446927708671474	3.386495672457738	4.303968550609014	4.109994872323801	2.2900300967151743	3.5252354829312456	3.0796557911364557	3.3724595042295533	2.171373929602694	2.1440567989105723	2.683371065629496	3.702689119833928	4.084086840513372	2.639577456966814	3.9728457836495363	4.993156920331579	4.087369751503016	3.637027358301747	4.1639543080926895	2.9754789219467424	2.95042863330177	3.198757425899011	3.5165770324159245	4.195307861991257	2.8148511886932392	2.653701461292082	4.227516910290557	3.2203835730766093	3.3231000715424415	4.28575764507789	2.083736681239545	1.4601320598659848	3.6531620890103924	2.83552163538429	2.91756938631201	3.8810869968268205	3.8275839289252174	3.0553971037957495	1.6780304807203286	3.3877632397297037	3.0837179312644434	3.6102326746401143	2.7833457709530847	3.2081969101214196	3.524291442707059	1.7582987904882732	3.171351446027662	3.296300019119966	1.8419228233843374	3.380176362369076	3.789763015291419	2.849281430688839	3.3717582231091305	3.16863417953905	2.4580858331640787	2.710913158306017	3.1024774353319993	2.913087680285354	2.186498478736757	2.8672225433495115	2.315495583013183	3.013362986079159	3.3057783589637646
s62160	2.257526715025151	0.7683056974880973	4.493765748973854	0.0	0.993009415677073	4.541380366347694	4.57646395363848	3.6410117056894515	4.043811377317493	0.8742721186355691	0.4428034823639543	0.9324723220745925	3.193506325713323	1.4777018306636258	2.6342633563250386	2.6004567077738594	1.7845947034065646	3.5960745456883862	2.1103338392708566	2.6928042495208873	0.5431713513189346	3.1486256565384725	3.0503626340724055	3.8458386121787815	1.4856446149910025	0.8886672405101712	0.4950213381908783	2.0910401170944843	1.693423383539468	0.7047303843200526	0.6291081137524646	2.772666014518697	1.6869000169849415	4.343914537961828	2.3714875529811903	1.5984877896194511	1.2889110338348968	1.3383309883494716	2.337279833058131	3.5209433486342756	3.5965886667849856	2.420125208335725	2.248618531567533	3.178999630029542	1.7748151433482562	0.7270254697582739	0.9409338792196444	4.626873930424875	2.2462625391343165	2.210273797140234	1.8746960364420076	1.9304905287347962	4.1569356579248256	2.967728027129187	2.3415146797786175	3.2368647457661224	2.8327377542122707	2.3687639199809927	3.1010733374761084	2.4777302193251836	1.8571985318199524	1.6204076048478626	2.3513587708637673	2.5680454319243213	1.7452450848520968	2.1574728267114702	2.3442187434698023	2.585209807023722	3.207107791899153	3.5620751026096276	3.4567698455019524	2.515004009190863	2.642679685410419	4.0496597782453225	3.6456495914754656	4.112174774510346	4.141475133779251	2.806139449088556	2.982666826958161	2.303535714726338	2.255089877466435	1.3315476433114128	0.9869412679198737	2.6374293711504766	2.401370162528694	2.824390812892718	1.796121813286906	1.2492044057462233	1.5709485673438919	3.0737168879555754	3.771302261527408	2.029153562738295	2.023315886278667	2.937858450661641	2.9085189139333867	2.292858062039396	2.3170257621937225	3.0499494898902317	1.3427352177270258	3.072869715406402	3.0011415619319974	3.0532673469919764	1.312681494775205	1.7023735271211793	2.9505685829651056	2.3798774668536904	2.0348703489288047	2.7924116399392136	1.542590647925897	2.196755479727948	2.1812981283304143	3.0129868147212564	2.0520765084444843	2.1591101755009876	2.8654283584968248	1.6079138812097928	2.3051201858706154	2.5799960451730035	2.5579816440790526	2.75405740408285	2.28570693630724	2.750632096584114
s62172	3.0720076115744757	0.9239217689864625	4.158258265218404	0.993009415677073	0.0	4.258309888267902	4.144001872821989	3.7871527747156977	4.624736630242338	1.506287423223703	1.1308606157990462	1.8721140077151484	3.4898563669740748	1.6861671857051526	3.2324699508564163	2.1574317133189274	2.350032033587021	3.625144519322797	1.7264210431522526	3.387075324138841	1.2507243020202499	3.9971093202933017	3.8738380750532144	4.163355213540137	1.7635365436249237	0.868800826121004	0.8994999409733885	1.5682922574231526	2.1039171378652513	1.3865576836409148	1.0643559018598645	2.741271892918253	1.860424390845406	4.742012492766792	2.419963012942738	1.09159958031592	1.8356881682325965	1.3411236209771535	2.73233760917534	3.290627604282345	3.334705383179175	2.561673451730609	2.667694734005183	2.953369047982737	1.3779492860839149	1.328186037764288	1.2379675631393126	4.84718356025456	2.065404425293612	2.3420534828543036	1.7074597290187898	2.379601925855898	3.964207841798081	3.74344586833928	2.5240471828453575	3.013155963481345	3.5917266331272	2.215280730747555	3.8800083491626305	2.639317455256607	2.24660944142052	2.419984034457457	3.0794878526600717	2.663051099089992	2.2727653343771963	2.41685967168859	2.856524976191477	2.623999893747409	3.349438440728783	3.8683391077464018	4.010142427054325	3.1968007791389854	2.8731468031872356	4.617419647700084	4.442179312686829	4.693845807358095	4.630453423511603	3.5160956896607702	3.373963599853158	2.6610160950240354	2.6954848164397696	1.803486452908917	1.7128208320558846	2.94149342279651	2.640445155522035	3.5381452372680084	2.201265780206516	1.441375909288893	2.37240503441473	3.1610998370041226	3.732524464561921	2.581708404745173	2.153987675182241	3.316910100843481	3.537541487169425	2.9355639525825867	2.657141129376231	2.9246906620285755	1.7165124020950426	3.4993876014373306	3.5539072544866945	3.382515106346848	1.320806043785826	2.2441881262853203	2.8604783976960295	2.825104076103622	2.4992736414328904	2.7142456363977074	1.9624517059244215	2.81771542432272	2.3730951564336795	3.512582278215997	2.4633380921570396	2.0209199763407546	3.1589191667590844	1.8142915199905019	2.5864152640401032	2.6070206052585236	2.8327026533549193	2.812863979920618	2.5771104021016757	3.23947102149785
s9586	4.375490474573122	3.837800104858491	0.2739823363402673	4.541380366347694	4.258309888267902	0.0	0.8290038398720362	1.887399584508686	3.8537073087326226	4.223300103425603	4.495963966308722	5.208310520461666	2.510059327821524	3.2217372725555964	3.5733493422113365	2.1451152785587424	3.5522682636305194	1.5253187516111701	2.5504254028489344	3.9529525632924516	4.463705660225157	4.909713612955563	4.7526958093169975	2.5701772308631345	3.3912771390610654	4.762509542050485	4.109145000714292	2.7101878502801657	3.2544383982303513	4.036041842035	4.29976595385246	1.888456021313076	2.970761565546146	3.0782392356577266	2.3397202759731845	3.2062471035600453	3.883693905935281	3.2336043904433	2.9610812779786593	1.0600805682932641	1.0522695379410283	2.412810194839356	3.0837290123404886	1.4507289245280843	2.8935942058939954	4.207066060401913	3.638452093935411	2.3751932167714616	2.3384339645262684	2.5536702652845396	2.672369475821318	3.2469285312537535	0.7580101389681491	4.421337259572407	2.713819697244635	1.3736506936153121	4.285757546562299	2.252567554410729	4.488047662008337	2.393828486473945	3.335674384835583	4.252409766118225	4.022498514892407	2.233746589407475	3.475954962767126	3.0191143699857275	3.295972959547176	2.1295963805610727	2.0104977500238506	2.507939885305145	3.5380908847508055	3.9750421191345775	2.5432515952773582	3.7923006117755826	4.84653113323355	3.8965092022638985	3.4393972632451786	4.04791753600684	2.841634945613861	2.8817860844468357	3.118695343201507	3.5110290045923036	4.185789526506012	2.7107711272177766	2.588075752133293	4.104716494038316	3.186813202842394	3.3435032694252476	4.237600241660224	1.9700056354773727	1.2872221768992091	3.577848332870457	2.8061745070747155	2.7918018015719013	3.749977143255859	3.734473589564395	2.973214003623732	1.6333704536363767	3.3873497467466476	2.947648102378467	3.4700810414382173	2.6440971951955277	3.2455382518878415	3.4843570597563587	1.7138131402382875	3.0850979726206518	3.2322873023422773	1.8190070555811553	3.3559470818841985	3.701464563543802	2.7971408673406293	3.233523971245649	3.1080822955035092	2.475793691450965	2.5890703981624568	3.0960438169857727	2.8389758799831144	2.14197559648469	2.770963468804765	2.2368997609702173	2.9384979667279967	3.186443318983257
s15949	4.738442446289234	3.8401310089776457	0.6986439711340287	4.57646395363848	4.144001872821989	0.8290038398720362	0.0	2.474724108816979	4.472595237068083	4.276872222438413	4.505102935281083	5.299670884069843	2.990604550357508	3.3232187164531037	3.996803363221799	2.001245021303228	3.8848159390588846	2.0330622613689675	2.5390189508159935	4.394200119708411	4.48657940056884	5.380690398294509	5.17581938701744	3.2102785134546905	3.4727007321111114	4.646284870880824	4.12141234921742	2.600691681367689	3.4898823749993766	4.1617528342728285	4.2817074552113175	2.179455689961088	3.133994367866003	3.7671598988914416	2.5493293167870172	3.0852287831139593	3.9890692100022713	3.272048706018772	3.34577168013788	1.2770039419102093	1.150307482982724	2.6988241217613997	3.40461956655451	1.5385060098657013	2.8615238040877804	4.244775328655711	3.7447364561650844	3.0310301491907823	2.378776200449566	2.7802140187826505	2.726067228511141	3.520355991877312	1.1175068635970848	4.876970915889364	2.894728109026613	1.4926809105336516	4.749312406464608	2.30261639541113	4.975953806952832	2.7435809604190937	3.5031894406178954	4.495044528431381	4.428343580407539	2.536802837036494	3.7283566947953366	3.1738103692745256	3.719384863509001	2.4184214512012217	2.468919016599987	3.0750806858012933	4.064473522617394	4.323453497888194	2.852840647616073	4.424482862965963	5.359557808723546	4.4941088246766965	4.070306915799124	4.506019846041437	3.311296466732884	3.2499044876947343	3.4583713993492924	3.7224232657373535	4.299357403375765	3.0517276741926422	2.926111614355188	4.527901026201075	3.466962865083972	3.4368217753964654	4.47945833430557	2.3319317924198293	1.7622136805321857	3.832720667527407	2.9331408887671997	3.2733049690928713	4.195552275718668	4.088347696912362	3.2327573606518483	1.8157420695140012	3.5650825055321893	3.462245793654679	3.9193819823309126	3.099788017036691	3.2918182284769513	3.770250860714139	1.942830414885628	3.4703865948683292	3.540733012089787	2.0809807167794956	3.554476932858253	4.017211151735863	2.9665809328505732	3.711446030941379	3.4090661257839407	2.505121609136599	2.9880873473356306	3.229215155825952	3.084655142303986	2.390531701540455	3.0344006019021696	2.4335326142279756	3.153474780704695	3.6259549926175696
s401978	2.7022794139479354	3.0484980123579795	2.060851442329875	3.6410117056894515	3.7871527747156977	1.887399584508686	2.474724108816979	0.0	1.9994644670143518	3.1559979939301046	3.5592888168747177	4.042671568605278	0.7109842091672951	2.251370419903159	1.8174834790670922	2.2511348370284305	2.159528472355688	0.477605020686541	2.3487881848373267	2.175473355431502	3.481434703212143	3.095180834707897	2.937236563679729	0.7568672315601771	2.366015609488117	4.0754637809075325	3.264211625050292	2.6266182336227937	1.9937637906000627	2.9773830168524222	3.4220585595632276	1.125539589135155	1.9836169581043819	1.388789366481935	1.3994873912990287	2.874954338288014	2.710784348214726	2.4804847302889224	1.4417216513678903	1.3919918090629093	1.5306272383041475	1.2511661750567424	1.5776815639976565	1.4671551741094666	2.5687344002581374	3.2030535575906893	2.7438361615593516	1.1049006987545982	1.8647466075123453	1.4824928998499114	2.1215004703634346	1.8494720104044067	1.4238093719878475	2.6028182610028985	1.5607617605034392	1.431389705993778	2.4941352161479027	1.7497087537834388	2.6616703101963135	1.1802221679949219	2.077249057928629	2.783552153969053	2.3336545410593432	1.1303930248860277	2.091483007372279	1.8293402250960649	1.705680329082117	1.1739069877898145	0.47732667546842	0.623257817989102	1.6542349414575868	2.268620839867061	1.14067501667679	1.9507155290119327	2.9715122555282054	2.0389500294901497	1.6203080781050254	2.2499699926320496	1.0474760890818864	1.4185358402397188	1.585190025990984	2.3508473019409695	3.0045804108304366	1.1824743775716469	1.2442043598058483	2.304922838616062	1.8967264256806198	2.44144005371433	2.78240526687993	0.7416314560697606	0.7585891787713497	2.09222366508722	1.8091759448496239	1.0187661877001224	1.9320486395601741	2.0757574436299038	1.5673332521943093	1.2341877359674174	2.3005734805319356	1.1186923674026366	1.6462416412690444	0.8754043100462794	2.4908508206859423	2.109757010713145	1.1625215867074692	1.4925973632330738	1.773075994301528	1.2116155216745128	2.1478769608514483	2.0957626940541796	1.6674793219146915	1.401237192827924	1.6920983671021357	1.909177743866752	0.9530193752408063	2.0912825216968143	1.510656136985884	1.2163302330760801	1.3817074799503806	1.2456582441278057	1.6331471227618732	1.4262053971771442
s401612	2.0389489626776385	3.754275709330745	4.035932493389767	4.043811377317493	4.624736630242338	3.8537073087326226	4.472595237068083	1.9994644670143518	0.0	3.51510203675697	3.964810008449595	4.014624152452312	1.6204423948564504	3.0569992443070455	1.4431251416918789	3.877615371828458	2.331783064928761	2.450564767439886	3.7394252954014915	1.4154146724213887	3.852385673982813	1.73697088870796	1.7158766378852603	1.2845158934956382	3.071888135552426	4.67122267511624	3.8435663155467097	4.028061112952988	2.5414622843215398	3.3575848605386547	3.9418330535426045	2.739686915980822	2.881968263971867	0.9662194534591471	2.7078803296100267	4.055281736815115	3.08148724563948	3.4109298592383426	1.949398213710388	3.343325079908892	3.482598083130783	2.4477252660305315	2.040160514654799	3.3118133425184526	3.813760992210514	3.6258004248225513	3.396084278341727	1.8901480147606977	3.2858033800203854	2.6048908815068277	3.359984787313166	2.288786280941052	3.3959989105256168	1.4366082865081578	2.567499687064274	3.3011414350275023	1.4501639206272008	3.209082425254611	1.366912376045128	2.3502016253596465	2.624256225766134	2.6041909752716705	1.7641256568453014	2.480508129429524	2.400191576447978	2.620328839292547	1.7923297569142809	2.6124854097339187	2.1084569227825956	1.4097648229987363	0.7210104151903314	1.7799383778087736	2.1764343794414938	0.13080356187629416	1.3192518237406319	0.275115902281656	0.5005641753168186	1.3403735671406343	1.448678989339742	2.047442072980721	1.980398668736179	2.8270136042303613	3.24332813444187	1.9916439900213947	2.2227411456641977	1.423802273250643	2.4359042964781072	3.2249955708815947	2.625995639039243	2.35514055769413	2.7262403356457887	2.2459238434514983	2.8258041597793926	1.4916127716268743	1.224145505002464	1.8204931967140885	2.2286947718576644	3.011144595925597	2.9111075874219368	1.2571461626384015	1.1952844486250471	1.6028070496981977	3.4111579885331533	2.388863959676407	2.897441996674282	1.8317552120988299	2.1509221136819363	2.8662808566450737	2.691996681266128	1.9779529577532797	2.627241750957125	1.179430345064042	2.2040276835363066	3.2522963671353726	1.8391558367956204	2.9297395276452947	2.327765011877742	2.662534050765332	2.223038168601788	2.636239948348151	2.396724412059142	1.4336434045462474
s19507	1.7888815622990606	0.7343689586149308	4.2192779143743735	0.8742721186355691	1.506287423223703	4.223300103425603	4.276872222438413	3.1559979939301046	3.51510203675697	0.0	0.5326731921811048	1.0941520754354803	2.6303584342106925	1.009216247140271	2.0733657379623853	2.4131262413918244	1.5066457226748253	3.1194557697493903	2.0716137783270288	2.1818435004370462	0.4025887671440987	2.740717300881059	2.509590719421272	3.3390908154915833	0.8569404314643158	1.1871308032693608	0.648026155463087	2.0906785868485254	1.2212034231430975	0.6646081454341829	0.48546664512625376	2.3970458623501636	1.3152734539558806	3.832127550218677	1.9272643305432007	1.580965692076163	0.4942270070929438	1.0972890108060318	1.8859546420914421	3.168374012614888	3.2265402372754424	1.9619776899137806	1.673580811921382	2.801888932285168	1.78517719063755	0.18012558990904803	0.966627065268691	4.05735316881046	1.9235018324646722	1.7520822428068634	1.6712816676605267	1.377532806150293	3.722463946976942	2.4653398517389773	1.714938678827312	2.8679432880872753	2.3836389758280445	1.990437478173575	2.651440826915451	2.085967589628384	1.1461382864512049	1.058728231906065	1.9105955247606097	2.1292378860105594	1.1809830251466855	1.4649670353572948	1.951770585381587	2.1875718895550067	2.7017150231134504	3.018254233189039	2.8650442083442473	1.8529774503462013	2.0552666016695147	3.540657956388844	3.1432108824947473	3.5353538512899947	3.584923815798466	2.3081224415789006	2.4259857963801057	1.8576957857289562	1.705017035508112	1.0611563120040488	0.310145777469023	2.037408277520359	1.9408962185436351	2.2403801734698097	1.4071820211479527	0.9657265453818281	1.0332915179877666	2.5528354903668142	3.2926461342897224	1.328657219225712	1.466394565196624	2.4208195771657306	2.314762431939993	1.699420787784798	1.6649224810348535	2.620884161389852	1.0285535972228517	2.5580953273652884	2.3817787394361125	2.479656896697718	1.1084047082854867	1.2881211153838377	2.534461999708752	1.8741231151923203	1.5062453948743946	2.439668882105363	1.0481712023287126	1.551827082101786	1.5714253299471712	2.4403336284698094	1.5346084339434034	1.7774415751692145	2.285962824466207	1.1515387671492436	1.6839395376169852	2.1434409118316604	1.9003871625392497	2.182004315858071	1.616641718869366	2.190129369149805
