	m46	s402150	s9450	s62160	s62172	s9586	s15949	s401978	s401612	s19507	s402124	s62162	s402120	s15825	m9	s62170	m3	m22	m11	s39314	s401614	m1	s401646	s12903	s401956	s62166	s62156	s15981	s401632	s62174	s401618	m31	s402122	s62152	s15827	s9466	s7863	s401616	s39326	m6	s62134	s7857	s19481	m38	s401660	s62164	m2	m19	s19594	s401996	m14	s62168	m13	s401622	s401650	s15997	m34	s39300	m5	s39352	s402112	s401620	m45	s401634	s402116	s402006	m32	m26	s401972	s401654	s401954	m28	m12	s16001	m25	s12438	m7	m21	m17	s15965	s19505	s401656	s62120	s402118	m40	s62150	m4	s62158	s401652	m10	s62128	s19501	m33	m8	m23	m27	m16	s12884	m41	m18	s401964	m43	m20	m37	s15947	s15987	m36	m29	m35	m24	m42	s19511	s138530	m15	s401974	m44	s12428	s12430	s12614	s62154	m39
m46	0.0	1.7808679677714816	3.772268945688156	2.5653521348655373	2.787388309308127	3.9592167786566845	4.461499621594078	2.451226816000844	1.4927190167203404	2.200359679569151	2.328846278621212	2.122917288929108	1.342159945664502	1.9407466870553394	0.7809109908457575	3.1360936133493493	0.7721623411916215	2.7032055157012294	2.902021547313139	0.3591669227792942	2.006134082163204	1.0719161160137918	0.9822725865895822	2.3388108572219113	1.8977345317595764	3.203964172636734	2.493083552648349	2.9538124771095986	1.7617119797693985	1.8711171401076854	2.156723871524126	1.9315839479364754	1.9078558793880194	2.428308923820562	2.1706176023745116	2.783747803983418	1.61463695202837	2.9218106864561	1.7984315126136385	3.335870058933604	3.446949647455158	2.209156876734129	0.6021075271751115	2.946882494415206	2.440720019108376	2.302283297387395	2.038246078302978	3.27583504274506	2.5248091634016476	1.7401578058182139	2.4733311399781144	1.2968496898011126	3.4947330331638127	0.7817106848257906	2.4129918715480767	3.002396744587781	1.2183400816731895	2.6257124532050273	0.7192432792235296	2.118400996713033	1.198676135263368	0.8719024843950537	0.5856366886972303	1.9381405039054875	0.9489326742495181	1.9939241919644402	1.1567454247957987	2.124644794291096	2.55180077159002	1.9187423703964872	1.3144556500845026	0.5262955022542188	1.6479062274279812	1.869865321811222	0.9474567274953398	1.587589009031956	2.0370350644189448	0.20479426138963833	1.3437528061538493	1.398901162173216	1.6221778457058653	0.8999367118986565	1.665778073185353	1.729158505413866	1.8176813772351994	0.5276354753200712	1.192816979703051	2.335235868879728	1.1403689121386258	2.3241401152794046	3.188080547749991	0.905229671179383	1.8710493226566742	1.8528969966321722	0.7376330033450844	0.21599707494608308	1.3483379167568277	2.870863253347786	1.634122425630156	1.280741691297146	1.5438824673304663	1.7076296455314037	1.9850386567529577	0.7879109246538742	2.617814920239213	0.9876996067567835	0.9125183097906806	2.3064844731527847	1.353652764774099	0.3608749963862295	1.6892822921550688	0.9927386945577914	1.1166440661479669	2.6329991158392767	1.7565012879120008	1.9658473618375973	1.5367863639051997	1.7745559865564697	2.20404075125903	2.394624193051646	1.173037774945242
s402150	1.7808679677714816	0.0	3.496326801548706	1.0831397638916491	1.0369850818927768	3.438176061499704	3.9411223111115565	2.7125514576569416	2.5169204678740975	0.8284787372283159	0.8116523089976727	1.4165569321943714	1.8415969413131448	0.9132680162351045	2.3230346503228385	2.232528762672317	1.2952895197054386	2.5700277328383345	1.5733231314449054	1.6910457015365865	0.502178076290296	2.836242439090759	2.7285897866789464	3.3817887893351766	0.749962536350203	1.7692799599390026	0.8293914291974915	1.3103290532047467	0.4966788028042743	0.21795518257564298	0.6177173448140865	1.9521234479184322	0.6751162660401105	3.5983620840296155	1.5655041673291297	1.2914900677521663	0.8707438936472061	1.3561524279713622	1.3869959048568354	2.7908457263086164	2.945399105892358	1.9415699592516222	1.2836735525799252	2.406461453461372	1.0716248029128466	0.8464404899107549	0.37002522593921017	3.755196808392072	1.4695861973945648	1.5199375747664097	1.2941113629447287	1.0253704799389358	3.18586668631244	2.555000411183509	1.869882748063051	2.7523932381069516	2.9264313829059865	1.700896478403849	2.3873987490950697	1.3998299097190996	1.0672591238222304	0.9948734930140194	2.031001391456613	1.4995487652520267	0.8764015987554405	1.390415592793386	1.1919006154541316	1.6140258505299994	2.3899451852498825	2.7272518939955948	2.673539024675911	2.0742165397066317	1.8164126299911716	3.331136075201457	2.726465803542337	2.940082353241405	3.290247077232064	1.9846007043209293	1.7912870718458604	1.8179605660949725	1.3042463115154135	0.8993307343827731	0.8727270667392593	1.684384513697121	1.9613254111251164	2.20576791940323	1.3646592668586324	0.8649067916096946	0.6971101702659159	2.507882588709276	2.909614794495687	1.3293306096975805	1.4021711072772927	2.565469734297172	1.7301881239998531	1.6535592403991308	1.4895222657804634	2.3789115800996083	0.5403483048972079	2.0207182772085726	2.3385924087350425	2.426485334728259	0.5200020053004119	1.240733099154787	2.027095270174072	1.8874675992753533	1.369080365775196	1.930304418372656	0.7221656390303639	1.6182707603962252	1.2698548022627254	1.824234867366537	1.315484782772092	1.6168974968901486	2.035106344832261	0.7645788770378357	1.4744696416967649	1.5482651634197844	2.2850524190879122	2.1945031054329713	1.9463141730920377
s9450	3.772268945688156	3.496326801548706	0.0	4.45967850822966	3.9153623590345195	0.5228333319262379	0.8815937564166156	1.4372720960167151	2.6541769187177673	4.0833506551921115	4.168731459638972	4.881014790404707	2.4478118716375477	2.6688459006087943	3.432202618756032	1.6342707624845243	3.1407192805933115	1.1050451293808021	2.397155056668827	3.415365051101701	3.6693044318157573	4.475676816068187	4.212825944978741	2.579087409334761	2.961414581549709	4.922599817912018	4.061121769356202	3.116284331207785	3.0118103459273846	3.6780028352419594	3.2666951725187023	1.8522768043826652	2.8836858868948894	2.8765752437951524	1.99633617490343	2.7779189937669218	2.982266562773708	2.8806121369847237	2.205780091000854	0.7885222353896151	0.7370579850596753	1.7337367376690094	3.4742688956511873	1.145337423677594	2.6428477639587604	4.095808095437671	3.26940603342976	1.5506018924870892	2.1401461395424755	2.1708176894147293	2.3393462730772265	2.781167018815063	0.4708004900124607	4.041355436043411	1.8201604269602405	0.8015111927929519	4.730261663011745	1.9317568689658011	3.6490282876629374	2.1014739877588924	2.9634381113162465	3.6143660646143037	3.35771239028723	2.0756689826618135	3.5594137806382338	2.396124164503455	2.8070930689011253	1.9073743316720642	1.2498719360904975	2.254125122880875	3.12747167780653	3.7775608873626116	2.179044531052506	3.436662194580014	4.264846622433584	3.124697489478263	2.974238041803567	3.8355029427223326	2.432180304001216	2.3774529572975758	2.406740322268796	3.4074313939852554	2.9095726342767136	2.1076772287767755	1.957977631976452	3.666690055266015	2.683697104299569	2.843953277568598	3.4173836723104145	1.5057811512303945	0.7093559318464185	3.3101054839833934	2.233596234886275	2.178566018828093	3.065759936423201	3.8191402872873805	2.5978950288230336	1.18527941708834	2.991047422516375	2.5631976733588466	2.4116563299899028	2.2589829209487546	3.0284878979954675	3.1287927031086116	1.5344916961662303	2.8334920885955652	2.9250343463800306	1.6075100819982406	2.997963080512139	3.705217428370832	2.5282238992411044	2.803259874186506	2.7497311481855418	2.045647686679624	2.0406848934405137	2.805764001483137	2.463302052404568	2.1505390724736593	1.7574839166107672	1.5742923688556474	2.6424026444626385
s62160	2.5653521348655373	1.0831397638916491	4.45967850822966	0.0	0.7735541791208951	4.3312207423355735	4.796514432871869	3.784789765492088	3.55887797706816	0.6814051440097009	0.3710371584524897	0.9694940906572445	2.897963060116232	1.866536805328373	3.2400150520823536	3.0285627408179243	2.2833778050185964	3.5908328915859395	2.254132029353236	2.586593680231285	0.936698979355943	3.5176719908515657	3.4608259745747905	4.43812531874247	1.6313523802926526	0.8231810391474814	0.43144098130389635	1.6481533614302823	1.5316427120308596	0.8899750388295786	1.261683861842958	3.0260860444609414	1.6298817072849607	4.642648025587436	2.5503157555383917	1.85220288268829	1.7943061846590431	1.830960718550917	2.450785730404361	3.709449056740246	3.854460689212307	2.9551588070719816	2.139002191845494	3.3430687034031963	1.8581260758893907	0.5968167668536021	1.201240291825341	4.817654814832345	2.3333033674233965	2.580753134002656	2.138561449469089	2.0895970355445206	4.139390345975719	3.3334862275851442	2.809385010976102	3.7488200405752097	3.539203504922301	2.567341819885859	3.2564911046442653	2.4002172686505454	2.0600964051269712	1.7815808942593558	2.9554608680963614	2.5380207584936447	1.70394906147972	2.322621321104855	2.255037417404679	2.6424678416795557	3.4172666627478567	3.7928395469844483	3.6527431251416944	2.8518383713755373	2.872416675045866	4.304523172350274	3.4590478264984283	3.927366949873249	4.313741136910046	2.7645115396624322	2.85520546379791	2.8916526137760985	2.3519613397859924	1.8164065811430952	1.8140724228915144	2.748874597125744	3.0407156792918206	3.0489066981047217	2.432632529929153	1.6275091183357246	1.6090360308101677	3.568776230182511	3.8820778229253627	2.195309907062098	2.4209633605275527	3.6367792755015964	2.702745873632891	2.4004995402793936	2.5111003455087504	3.326500932319612	1.615398889614851	3.0769628490740932	3.3934834274386496	3.4928033390969793	1.4487027633059983	2.232409306882591	2.972660544229921	2.912925513849821	2.3894986183988083	2.9576516139750164	1.784715859002694	2.3934006788178137	2.260534512529905	2.8451621736185295	2.370012989135671	2.4574875301044665	3.101774670902459	1.7007360788025565	2.4963059088155273	2.6002197667792593	3.305653237098416	3.193233597340566	2.985658202906457
s62172	2.787388309308127	1.0369850818927768	3.9153623590345195	0.7735541791208951	0.0	3.7283091544467366	4.159859644199028	3.4527216162610435	3.479229558562432	0.8536430716677982	0.6796661561619038	1.6814423712492101	2.7449089156372635	1.4888422366724448	3.3445791846569555	2.3982708614479487	2.3212942386472393	3.149614026367174	1.6182553025263957	2.7072368340751995	0.8513405551899286	3.8263676921999727	3.706263620952107	4.300952297399177	1.3068201627741718	1.0919782917310317	0.41495881057046313	0.9118229319502619	1.2819327798456648	0.9199807889014406	0.8707442832539248	2.721102872900838	1.2858333615220254	4.546638888729235	2.1165343641814136	1.1754736874949883	1.5867830519918844	1.1284777096906373	2.135881789846614	3.13841938197177	3.2751902696634776	2.5534929144022853	2.2659711502627102	2.80180681843102	1.3239796429374013	0.7363465505510973	0.8916379495584437	4.468982936426727	1.781070159974415	2.2822840780321942	1.5937644613082187	1.9433240316441374	3.5959890879913106	3.567718056456628	2.33651474512409	3.2598646067650825	3.901288892945283	2.0050560002691884	3.408681159923737	1.976390369036009	1.963716946589791	1.9485412261838526	3.0561004378067187	2.1758805834258554	1.850160719903307	1.945387377544315	2.16518163840344	2.241690533013225	2.9890131908551667	3.6203955310888776	3.6631123687625515	3.035183054807714	2.625321221920486	4.339433412237804	3.729603176435748	3.919899161730716	4.257937213982383	2.9914491000676415	2.6987072193588295	2.728550563918885	2.0808538888215833	1.9161888274479186	1.5732483683546101	2.4660632934666165	2.770769630142248	3.2109649241610234	2.3214795537229143	1.101751624716033	1.6756015337826529	3.2273630838831995	3.366906894766323	2.233225860268012	2.071635466788903	3.4519876329616057	2.716599702791626	2.6379914052744917	2.3387091183591595	2.8003297779277134	1.4190836735915775	2.977104500718699	3.253675728163744	3.322350539436105	1.1023182394175903	2.2602554986536063	2.4611211196606857	2.8792978336345207	2.3504404077918837	2.5387810137775264	1.668102975973237	2.5874797482442795	1.9772823048423733	2.792357658625598	2.2674932333722353	1.8817696647869115	2.84977130155224	1.3226586025391254	2.2636146280943876	2.291401952314351	2.9587585712210873	2.773618190955835	2.8941484824824397
s9586	3.9592167786566845	3.438176061499704	0.5228333319262379	4.3312207423355735	3.7283091544467366	0.0	0.6585251616829799	1.7910379270264776	2.981939208517745	3.997676351979909	4.059198177689588	4.847054057346743	2.6665786640066202	2.626444896970519	3.708026872464698	1.4219124873404745	3.275815776204223	1.3395988777209769	2.157383357249468	3.6078952548459733	3.5930495758830103	4.747219944377772	4.4928130993086715	3.0196991056743223	2.9154274553342234	4.755901353868326	3.9212663733090998	2.8770136555338475	2.96871841807393	3.610276042575925	3.164331875007021	2.034089992638307	2.8265790541279867	3.3227308838501477	2.0048516071264872	2.5652242440873656	2.9958098815531367	2.6389873406201323	2.2639812890812165	0.6667707693412553	0.6640365870341256	1.8466667521366378	3.6055471789424676	1.1142310188750544	2.487502848494677	3.9943540555320065	3.173842732060094	2.0606137103754962	2.005195762585436	2.273099577293307	2.1951981240370637	2.8550493094250267	0.6881936341823187	4.310756864621382	1.8367526255936588	1.0081646291489728	4.98970416202104	1.8087108017483118	3.9223279562882465	2.0834459936519	3.0502019410556303	3.696871452427975	3.5972320916936322	2.1306953578804357	3.628297032369503	2.415567006964706	2.912321156822411	1.93701680757385	1.443967457146019	2.623748086817729	3.4639232210057354	4.001675306285326	2.3672156882220423	3.828431100964937	4.5393627251798545	3.4941223646837822	3.3876768278869607	4.04596685180148	2.640501810605308	2.585638351648913	2.484298876768817	3.4851892439459995	2.9158149183063458	2.2522120246209174	2.1605658842129984	3.917201281702607	2.8146990063037634	2.7052625211750922	3.4621937546453996	1.8103636182427565	0.9127300475926743	3.43969955714131	2.283513205006499	2.522271018346615	3.273289748516751	3.9863788086885794	2.7422558908023316	1.1944253529987554	2.9698616796044726	2.8122968110968194	2.7190176344727703	2.5802774146010896	2.9459874018155934	3.2582901347314004	1.5151915142676398	3.0634509212574543	3.074574589816215	1.678923615407738	3.0300894869657324	3.8730689185816827	2.587008695403633	3.0270659695111735	2.8820231545264523	1.9027151020070645	2.273370717699437	2.7438461834507417	2.5846606037387967	2.253467206721397	1.9886462511918257	1.7238309202458768	2.88534010211457
s15949	4.461499621594078	3.9411223111115565	0.8815937564166156	4.796514432871869	4.159859644199028	0.6585251616829799	0.0	2.249372760053545	3.4555351750149494	4.42626569011212	4.51277448493421	5.334107818820705	3.1435133770206547	3.0878197488657024	4.194651016367957	1.7809660405537655	3.808371367209644	1.7805570395273815	2.640813021362376	4.106312381950199	4.036960797139309	5.22788672473149	4.938568977596553	3.399009362714445	3.3556810656380405	5.1469601443704835	4.374775454895367	3.286491818556186	3.4663226602870325	4.098097753955002	3.600526277882551	2.5549310386655812	3.2997849355746762	3.707461306703537	2.4689929072592944	2.9846240461333338	3.4328007825377767	3.070154636532203	2.793773303178694	1.2007389168372842	1.0362909642880407	2.2871595339494935	4.089703067376441	1.5772349835909996	2.9926627848587093	4.423513312772153	3.656953133693706	2.269982188645666	2.487547805958213	2.7691183574984404	2.6924703972211637	3.3595971327677954	0.9961899565103224	4.795571528013315	2.230990403390139	1.480071391686736	5.483924370113346	2.2538513807352993	4.405948836040756	2.592957134030081	3.5161254282081345	4.181666232063925	4.100245759056255	2.6279875798210766	4.121358332143458	2.8184847900169414	3.4520770881071523	2.4709942369786537	1.9168897974113341	3.053596518761185	3.9063827563942484	4.449356108701115	2.8264425602379184	4.26483328673504	5.020281357778194	3.9121394323695364	3.7944523789595204	4.543010480539984	3.1318699618776855	3.0987868704697807	2.9625221526656897	3.995570038957085	3.3568557733803583	2.7406774095713793	2.6771773442724354	4.389576223736971	3.353439482965068	3.178949819138712	3.9540605067903516	2.2470974711579816	1.2892198216704978	3.8829446465608703	2.747004476963862	2.975848770483438	3.7525608403047457	4.478968686558246	3.191497300443725	1.6363273473548974	3.485502129857012	3.324770863102408	3.1737131542277113	3.0372857256359675	3.434595792727577	3.780517539717614	1.965393343042803	3.5753854829815435	3.57655495479099	2.2171672049421343	3.535889298615868	4.347388472521775	3.022568044446358	3.5107784957198906	3.390982107481383	2.3494316026884885	2.737759771468893	3.211819217947821	3.02760444739662	2.7359922493328095	2.359540186799103	2.115613015434306	3.364607526141645
s401978	2.451226816000844	2.7125514576569416	1.4372720960167151	3.784789765492088	3.4527216162610435	1.7910379270264776	2.249372760053545	0.0	1.217728834390609	3.3575492081604645	3.4753004096611697	3.9486721491406134	1.1612279033870387	2.000056692500759	2.0144942682296754	1.8345398030593802	1.9347929478109456	0.6450508374145977	2.297932649165263	2.0993444000429884	2.9478235135146926	3.0549992439132336	2.8027429919787297	1.311059161870257	2.264360738499334	4.358802960164556	3.4517421131422164	2.9044334771873506	2.2558543063921235	2.9063014228766657	2.6640425910684034	0.7607801531184845	2.2004990888237956	1.6292327486160152	1.3957142950829196	2.551012066337523	2.1410963512879415	2.702805351492705	1.3399672987570141	1.3785425356348378	1.4401961988587924	1.0090010018230358	2.275692220297589	1.229436666931619	2.248449279512235	3.4057967267553115	2.6173819335161057	1.087962111964531	1.8414620390761285	1.2179385545285788	1.9939175394445994	1.7651976719669364	1.2810608225813873	2.6238644996673655	1.370023561672265	0.8608606794216347	3.3146402947876714	1.71169866864445	2.231856221874286	1.4910269679490231	1.9231055041205392	2.505725450603191	1.9746671263384838	1.2842988622953935	2.478444749644839	1.7041442306382848	1.6976859363971335	1.2303195319593545	0.6505141631927569	0.8356426352730513	1.6950317255510436	2.4360865192883696	1.0334945958430046	2.0460812691283143	2.8431672739463414	1.708474018956338	1.6186324985415186	2.480613641641874	1.1576378907138387	1.0976373180602332	1.4745246539762749	2.3094136221149797	2.093501367284642	1.0639172496114073	0.7711593077619121	2.2759456795212145	1.5309229833420142	2.377733826026508	2.4026772734839588	0.3179611414569832	1.0468188385813797	2.1633837913737333	1.437167953625701	0.7427325027012602	1.751643230093776	2.532771728032533	1.4935969284328412	1.1660521606036973	2.1736528845080363	1.1942054006334608	0.9956471150528262	0.8311868368011536	2.3755451918779085	1.9377725229185914	1.2752097957940696	1.4790667548003178	1.7188064674823178	0.9755321480432473	2.0519607732779397	2.433789274074934	1.6638253355619261	1.472066835032171	1.5962905545002044	1.8269610796324063	0.8006949576348805	2.1531645881106627	1.4479045169124294	1.2157259815505383	0.8274444499339354	0.9396006452720921	1.2905035667486444
s401612	1.4927190167203404	2.5169204678740975	2.6541769187177673	3.55887797706816	3.479229558562432	2.981939208517745	3.4555351750149494	1.217728834390609	0.0	3.1353538586389327	3.267813261204756	3.42011647311201	0.7976308894932429	2.1263637989939363	0.8563873435247051	2.6740084239141857	1.3078909353892256	1.7239233233752391	2.8243841724761003	1.2051746371538357	2.789519432189611	1.8685464021977358	1.654875791688096	0.9087720765145837	2.2832208865515935	4.201388222064132	3.3334959346313267	3.2328563209845167	2.201059285009663	2.6913895583134773	2.685337136003077	1.1644443056488447	2.246383805755849	1.0839211755374312	1.8485799043100368	2.93324847900217	2.031950775390772	3.091488149521546	1.535232935248507	2.485681359545866	2.5696073929392935	1.600808206012486	1.5909074109391006	2.211141675440461	2.552950615932006	3.2150330681206403	2.58984681492823	1.8637223938617364	2.351154024760719	1.3931215063937799	2.4146175675812276	1.5400398451389625	2.4692350647463863	1.4484281885991686	1.972693212820791	2.012361992060985	2.1308660867067264	2.329320106926972	1.0678267626076385	1.878017617011287	1.609397045116728	1.9242236274009665	0.9211915068729238	1.6068414082842775	1.9426324709373284	1.9300057781113678	1.3400410334328041	1.6964139933779199	1.6377247676918427	0.4931221868786331	0.5299341014539665	1.4565732045625748	1.0861341116450962	0.9933045398756066	1.656763137625829	0.6325861029692544	0.7896284106485582	1.4486845814520373	0.820887930655658	0.7944366053577901	1.5179759008941587	1.7794098548645578	2.0285901365062213	1.2381439143553967	1.0232321320739624	1.1862312430819553	1.1766970771091458	2.5896289403794355	1.981259398597538	1.2297335202983304	2.2014391999738647	1.609128615095854	1.6700934038726118	0.4900045313612859	0.9598329661897435	1.6377001643685118	1.27689715310822	2.1307189445468993	2.0669492665370983	0.5139811115458203	0.38445003060838173	0.4405727911513292	2.402856421345172	1.3430558744209558	2.0529864819535137	0.6568786157234072	1.1813626931623078	1.6571012983892337	1.8202972658411658	1.58730235072255	1.7070722062088763	0.7492672051610351	1.2171630631717467	2.4051726616001736	0.9420966762836875	2.246235090915431	1.3995098245976958	1.4190301412836703	1.3869209366822015	1.6687136237339886	0.619026339410582
s19507	2.200359679569151	0.8284787372283159	4.0833506551921115	0.6814051440097009	0.8536430716677982	3.997676351979909	4.42626569011212	3.3575492081604645	3.1353538586389327	0.0	0.34048060386857143	1.0872133406211952	2.4338398099866656	1.4257136009001943	2.841458633739541	2.6571686058855106	1.9284947680342566	3.1526936839057567	2.073486972374201	2.1828892898742516	0.4241653164802768	3.1794822615175238	3.0456670320170964	3.9869272144965255	1.1371814232009125	1.0716184768741013	0.5401577957743547	1.5047458702958487	1.1696063662115819	0.6221737353450566	0.8354752439412488	2.615976506832872	1.221563464025374	4.209324076649007	2.111916717332947	1.6064296648978305	1.2483136588920682	1.6756319637528914	2.0657423571018962	3.35372231706072	3.4581103175636922	2.485473963733014	1.696337945548176	2.9471245556324295	1.6457478300511206	0.12822807926607227	0.9142230455748609	4.339478577797798	2.0075695446334048	2.140304292135686	1.856994594078685	1.660444762514417	3.7223980702690147	2.9699138554343425	2.331719157208468	3.341335995081366	3.2460161793270705	2.190819912857706	2.864862336384485	2.020437734318963	1.5544713693375738	1.3472959547138077	2.5690994159280596	2.1128298037836752	1.2881066145550029	1.796173943093593	1.896208426643632	2.2697573248680114	2.9878164158366034	3.3367964205436698	3.2045423522700585	2.3906820766776313	2.3891065899341792	3.897062138258698	3.105931089692477	3.468867327623831	3.872984071686488	2.396929484635296	2.4077398883334213	2.474561444795595	1.8852197127938761	1.4351127634110956	1.2846054335281893	2.297635100522847	2.6263092199927165	2.630914763144033	2.0618940466142663	1.3533783688422039	1.1787325753302709	3.1115035927920944	3.454438486515673	1.661762897789214	1.952972583853464	3.1917510415171604	2.2481232051762476	2.016848560784461	1.9964011495034595	2.9120502704767173	1.2780697728493802	2.6732884132055634	2.932787581136948	3.040805289637215	1.124793344797418	1.8522573608175292	2.555324930688175	2.5117038605359863	1.956561458215071	2.577365687155437	1.377396044192265	1.9582769668263287	1.738564321158684	2.3950118970205945	1.943886324701809	2.099170859071302	2.634023656104894	1.288839453784349	1.9796040107939104	2.144662083576575	2.7887788280819343	2.704495948059669	2.532427813203348
