sample_id	total_sample_abundance	richness_observed	richness_rare	richness_srs	evenness	shannon_div	faith_phylo_div	pco1_identity_58	pco2_identity_p28	pco1_phylogeny_47	pco2_phylogeny_36
m12	3966	1	1	1	0	0	0.0757388504810147	0.012607481724017	0.0242993707449224	-0.0309238072653799	0.0734630921689976
m13	62164	1	1	1	0	0	0.0731967695175965	0.012607481724017	0.0242993707449223	-0.0391006347612741	0.0681615502304626
m16	5158	1	1	1	0	0	0.0776321034476068	0.0126074817240171	0.0242993707449224	-0.0413102562923465	0.0385505624304556
m38	20443	1	1	1	0	0	0.0651159502021517	0.0126074817240171	0.0242993707449224	-0.0264860959806868	0.0927129722812583
s12614	303997	2	1	2	1	0.693147180559945	0.100568872656129	0.0187801534684071	0.0127419181812804	-0.0515477216029386	0.0644561951476794
s15947	50664	2	1	2	0.918295834054489	0.636514168294813	0.0759945795343869	-0.0171072984355044	0.0110266306252924	-0.0816980109293766	0.0437746242704909
s15949	67595	2	1	2	1	0.693147180559945	0.0800045575818077	0.0128583690209544	0.0252069538159677	-0.0786569417408989	0.0718593153297585
s19501	47692	2	1	1	0	0	0.0719002974309149	0.145474262133162	-0.00898726662356919	-0.0535797015874034	0.0761492947584785
s19509	5186	1	1	1	0	0	0.0778356972640044				
s401650	5579	1	1	1	0	0	0.0723930238083786	0.012607481724017	0.0242993707449224	0.00042601535233292	0.075444607514113
s402118	5720	1	1	1	0	0	0.0691342489441229	0.0126074817240171	0.0242993707449224	-0.0516668686690761	0.0976316715215874
s62128	86236	3	1	2	1	0.693147180559945	0.175495527354439	0.0782954430104202	0.00191758938337893	0.0343573291902971	0.135095400478936
s62134	10440	1	1	1	0	0	0.0691342489441229	0.0126074817240171	0.0242993707449224	-0.0516668686690761	0.0976316715215874
s62154	102397	3	1	1	0	0	0.0719405545185286	0.032033658081022	0.0106779721490376	-0.0359198745068951	0.00220985431438494
m10	19861	3	2	3	0.869915529773626	0.955699891112534	0.0947129112668488	0.0665097224362907	0.000999558387771109	-0.118702204093066	-0.0286238571395934
m15	18195	2	2	2	0.863120568566631	0.598269588585257	0.129984070710327	-0.0276772765072017	0.00677819050749514	0.0428764871760832	0.0366247970746319
m19	30502	2	2	2	1	0.693147180559945	0.153291963286443	0.00587158147229739	0.0252672768760854	-0.0366867928301536	0.0865258277576732
m24	19425	2	2	2	0.503258334775646	0.348832095843032	0.0930683313581864	0.0260327501115272	0.0267020844200906	-0.0299332788363155	-0.037446181612752
