genus	lineage	exploration_type	s12903	m1	m10	m11	m16	m17	m18	m2	m21	m22	m28	m3	m31	m32	m38	m40	m44	m45	m46	m6	m7	m8	s12884	s15829	s15947	s15949	s15965	s15981	s15997	s19505	s401996	s402006	s402118	s402120	s62128	s62150	s62152	s62154	s62158	s62168	s7839	s9450	s9466	s9586	m12	m15	m19	m20	m27	m29	m33	m35	m4	m43	s15987	s16001	s19511	s19594	s39300	s39326	s401612	s401622	s401654	s401954	s401964	s62134	s62160	s401660	s62170	m14	s402124	m26	m34	m42	s19481	s19501	m9	s402122	s7857	s12428	s12438	s401972	s39352	s401616	m13	m37	m41	s401634	s401652	m24	m5	s138530	s19507	s401656	m23	m25	m39	s12430	s15825	s15827	s39314	s401632	s401646	s401978	s402116	s62156	s62162	s62164	s62166	s62172	s62174	s402150	s19509	s7863	s401620	s401658	s401974	m36	s401644	s401956
Albatrellus	/albatrellus	medium-distance_smooth	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aleurina	/aleurina	contact	45	183	17	4	5	4	11	13	6	2	21	18	11	3	47	5	8	57	86	17	10	5	176	2	33	27	147	20	30	13	107	40	13	18	19	72	72	6	6	16	10	12	47	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amanita	/amanita	contact	0	0	58	0	0	20	9	0	0	36	2	0	14	0	10	0	0	2	0	338	0	13	117	0	0	39	0	0	5	0	0	0	0	0	6	6	328	0	0	0	110	2	3	2	28	123	16	3	11	212	12	4	4	51	13	33	18	9	12	16	2	3	116	14	10	16	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amylascus	/pachyphloeus-amylascus	short-distance_coarse	0	0	0	0	0	0	0	14	0	0	0	14	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	6	0	0	7	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcangeliella	/russula-lactarius	contact	0	11	0	0	0	6	27	0	0	0	10	0	3	38	0	0	0	41	0	0	0	0	96	0	0	0	0	0	0	0	0	0	21	24	23	0	6	3	18	0	0	0	0	2	0	0	0	0	0	0	2	3	0	0	0	0	0	0	7	0	2	0	46	0	10	98	0	0	4	3	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astrosporina	/inocybe	short-distance_delicate	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	491	25	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	7	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Auritella	/inocybe	contact	0	20	0	0	45	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	5	13	66	2421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Austroboletus	/boletus	long-distance	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Austrogautieria	/hysterangium	mat	0	0	0	6	0	0	3	0	0	0	0	0	0	0	13	1036	0	0	0	0	0	844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	160	0	0	0	6	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	5	3	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Austropaxillus	/austropaxillus	long-distance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
