sample_id	sample_id_verbatim	date	longitude	latitude	ammonium	nitrate	nitrogen	carbon	ph	phosphorus	potassium	sulphur	texture	vegetation	bio1	bio4	bio7	bio12	bio15	aridity_index	nitrogen_georef	phosphorus_georef	ph_georef	carbon_georef	am_tree_basal_area	am_tree_basal_area_pctl	ecm_tree_basal_area	ecm_basal_area_percentile_pctl	am_tree_richness	am_tree_richness_pctl	ecm_tree_richness	ecm_richness_percentile_pctl
m1	euroa	3/5/2024	145.6399922	-36.8141354	6	1	0.13	2.09	4.4	4	106	3.9	2	eucalyptus	14.2566776275635	1.73036253452301	27.2051124572754	736.255554199219	31.8232593536377	0.222114831209183	0.226452320814133	30	4.78111219406128	3.33999991416931	0.076695941388607	11	0.891387283802033	89	2.29431962966919	17	6.67635726928711	96
m10	nurran	5/5/2024	148.5559511	-37.5457946	4	1	0.09	2.37	4	2	79	6.4	2	eucalyptus	14.5112457275391	1.28250992298126	22.3261375427246	975.750305175781	16.9237422943115	0.46504220366478	0.232304409146309	18	4.4534797668457	4.21000003814697	0.0969134941697121	22	0.8609299659729	77	5.51171541213989	79	5.72072982788086	84
m11	drummer	5/5/2024	149.2728673	-37.5681942	13	1	0.26	4.15	4.2	10	199	7.4	2	eucalyptus	14.4335794448853	1.27125835418701	21.2843189239502	995.429138183594	14.2090578079224	0.491481184959412	0.211474969983101	27	4.31103754043579	5.53000020980835	0.101697616279125	25	0.861497402191162	77	3.77032995223999	49	5.06571865081787	69
m12	narrabarba	5/5/2024	149.8040614	-37.2427798	5	1	0.11	2.07	3.9	2	74	4.5	2.5	eucalyptus	14.8482427597046	1.14944779872894	20.5575828552246	860.189758300781	15.1417627334595	0.509769439697266	0.1912771910429	15	4.3155369758606	5.28999996185303	0.114468902349472	30	0.842294692993164	70	2.35150623321533	18	4.12268924713135	41
m13	nungatta	5/5/2024	149.4384934	-37.131686	8	1	0.1	3.19	4.6	3	166	5.6	2.5	eucalyptus	12.1261186599731	1.43592119216919	23.378698348999	947.549743652344	14.9426345825195	0.501339972019196	0.244563981890678	30	4.54858827590942	4.19999980926514	0.0754873305559158	10	0.897586584091187	93	1.44466412067413	5	5.07744836807251	69
m14	cathcart	6/5/2024	149.4698702	-36.8376969	21	1	0.23	3.91	4.7	28	283	5.2	2.5	""	11.0179176330566	1.52266001701355	24.7574634552002	934.084594726563	21.3112659454346	0.51806914806366	0.227018117904663	21	4.37456560134888	4.6100001335144	0.0795014053583145	13	0.890654265880585	88	2.06798481941223	14	5.89775371551514	87
m15	glenbog	6/5/2024	149.368477	-36.6142036	17	1	0.24	4.27	4.4	9	257	6.5	2	eucalyptus	9.61369514465332	1.58746659755707	24.9996147155762	846.884155273438	17.8366298675537	0.449835062026978	0.222566351294518	28	4.25459623336792	5.40000009536743	0.0782247483730316	12	0.899713695049286	95	1.76670134067535	9	5.64988470077515	83
m16	merimbula	6/5/2024	149.8743829	-36.8759211	3	1	0.1	2.18	3.9	2	74	3.4	2	eucalyptus	15.1762180328369	1.23532629013062	21.6433963775635	804.504699707031	21.9925498962402	0.498865514993668	0.254699647426605	17	4.55814218521118	3.75	0.100973106920719	24	0.856960892677307	75	3.14362144470215	35	4.45017385482788	51
m17	murrah	6/5/2024	150.0314889	-36.5385412	11	1	0.38	4.24	3.5	6	149	8.4	2	eucalyptus;acacia	15.6784982681274	1.19057035446167	20.4446315765381	940.350952148438	22.4315242767334	0.543413817882538	0.211916968226433	21	4.46983861923218	3.91000008583069	0.129639714956284	36	0.819035828113556	60	2.82361602783203	28	6.87034034729004	97
m18	bodalla	6/5/2024	150.0690928	-36.1280866	11	1	0.15	3.86	4.2	4	155	5.7	2	eucalyptus	15.5486545562744	1.1956878900528	20.840576171875	955.326110839844	23.0606307983398	0.565301358699799	0.175997197628021	21	4.30779123306274	4.09000015258789	0.142570823431015	40	0.811290919780731	57	4.0651741027832	56	4.33971500396729	47
m19	moruya	6/5/2024	150.1084743	-35.8763055	11	1	0.18	4.01	4	2	127	8.8	2.5	acacia;leptospermum;eucalyptus	15.5246124267578	1.21816194057465	21.0543727874756	973.506164550781	23.7137451171875	0.542044103145599	0.197604522109032	22	4.42236328125	3.83999991416931	0.147147879004478	42	0.799749195575714	53	2.89735174179077	30	5.24620246887207	74
m2	edi	3/5/2024	146.4191508	-36.6571105	11	10	0.39	3.88	5.8	13	353	6.4	2.5	eucalyptus	14.2899951934814	1.76039028167725	28.45654296875	913.552124023438	32.8825950622559	0.234417825937271	0.29993411898613	50	4.72847175598145	4.01000022888184	0.07282355427742	8	0.89379221200943	91	2.65398144721985	24	6.90550804138184	97
m20	termeil	7/5/2024	150.3189681	-35.500985	18	6	0.43	4.44	5.3	14	416	7.5	3	eucalyptus	15.5682830810547	1.19562089443207	19.7424659729004	1154.70532226563	21.3474884033203	0.56669944524765	0.239499852061272	19	4.46480512619019	4.51999998092651	0.18198274075985	55	0.777600586414337	46	4.75268411636353	68	3.95516896247864	37
m21	budawang	7/5/2024	149.9393537	-35.550604	47	1	0.49	4.6	3.7	19	255	12.3	3	leptospermum;eucalyptus	12.2201251983643	1.56633067131042	25.0173168182373	930.485107421875	20.6218338012695	0.439436465501785	0.245167255401611	18	4.22176885604858	5.32000017166138	0.136421158909798	38	0.834540247917175	66	3.23418664932251	37	3.9001955986023	35
m22	snowball	7/5/2024	149.5738293	-35.9398741	15	1	0.17	2.9	4	8	147	4.7	2.5	eucalyptus	11.1015911102295	1.63385045528412	26.1963939666748	828.966796875	18.8715209960938	0.453540712594986	0.144231170415878	21	4.32660627365112	3.50999999046326	0.103860698640347	26	0.860932290554047	77	1.31417608261108	4	4.14804029464722	42
m23	neriga	7/5/2024	150.170202	-35.0708404	9	1	0.06	1.52	4	2	80	3.9	2.5	eucalyptus	12.5770378112793	1.57011163234711	24.5298194885254	953.101989746094	19.962947845459	0.428071647882462	0.226262107491493	22	4.19709396362305	4.3600001335144	0.144585803151131	41	0.816631376743317	59	1.75822627544403	9	6.03765058517456	89
m24	bomo	8/5/2024	150.5842409	-34.8521034	11	1	0.09	2.42	4.2	2	59	4.1	2	eucalyptus	16.8049583435059	1.19475221633911	19.8116626739502	1120.79650878906	22.6884746551514	0.482237905263901	0.160802245140076	22	4.33547925949097	3.32999992370605	0.191356852650642	58	0.75143826007843	38	5.42849349975586	78	4.79918622970581	61
m25	mittagong	8/5/2024	150.4535486	-34.4424345	10	1	0.14	3.21	3.8	2	41	4.8	1.5	eucalyptus;melaleuca;cyprus;banksia	13.330117225647	1.53407096862793	23.9509963989258	942.721923828125	21.3641891479492	0.464495241641998	0.21105495095253	23	4.58556413650513	4.01999998092651	0.147691309452057	42	0.81034654378891	57	2.31812500953674	18	5.35414600372315	77
m26	nattai	8/5/2024	150.4543217	-34.0649719	7	1	0.14	3.23	4.6	3	116	3.6	2.5	eucalyptus	14.3793992996216	1.58454978466034	25.380859375	927.670288085938	32.993106842041	0.460924774408341	0.210885882377625	22	4.38014078140259	4.30000019073486	0.158351942896843	46	0.787227272987366	49	2.61267447471619	23	5.06247615814209	69
m27	kulura	9/5/2024	151.2013012	-33.1678891	3	1	0.04	1.34	3.9	2	36	3.8	2	eucalyptus;allocasurina	16.2421493530273	1.34205830097198	21.0539894104004	1052.60375976563	36.4056434631348	0.53207403421402	0.225678190588951	23	4.19497632980347	2.79999995231628	0.229044958949089	70	0.713159501552582	24	3.16526770591736	36	4.71521472930908	59
