sample_id,project,sample_id_verbatim,flow_id,date,longitude,latitude,ammonium,nitrate,nitrogen,carbon,ph,phosphorus,potassium,sulphur,texture,vegetation
m1,my_sites,euroa,MySamples,3/5/2024,145.6399922,-36.8141354,6,1,0.13,2.09,4.4,4,106,3.9,2,eucalyptus
m10,my_sites,nurran,MySamples,5/5/2024,148.5559511,-37.5457946,4,1,0.09,2.37,4,2,79,6.4,2,eucalyptus
m11,my_sites,drummer,MySamples,5/5/2024,149.2728673,-37.5681942,13,1,0.26,4.15,4.2,10,199,7.4,2,eucalyptus
m12,my_sites,narrabarba,MySamples,5/5/2024,149.8040614,-37.2427798,5,1,0.11,2.07,3.9,2,74,4.5,2.5,eucalyptus
m13,my_sites,nungatta,MySamples,5/5/2024,149.4384934,-37.131686,8,1,0.1,3.19,4.6,3,166,5.6,2.5,eucalyptus
m14,my_sites,cathcart,MySamples,6/5/2024,149.4698702,-36.8376969,21,1,0.23,3.91,4.7,28,283,5.2,2.5,
m15,my_sites,glenbog,MySamples,6/5/2024,149.368477,-36.6142036,17,1,0.24,4.27,4.4,9,257,6.5,2,eucalyptus
m16,my_sites,merimbula,MySamples,6/5/2024,149.8743829,-36.8759211,3,1,0.1,2.18,3.9,2,74,3.4,2,eucalyptus
m17,my_sites,murrah,MySamples,6/5/2024,150.0314889,-36.5385412,11,1,0.38,4.24,3.5,6,149,8.4,2,eucalyptus;acacia
m18,my_sites,bodalla,MySamples,6/5/2024,150.0690928,-36.1280866,11,1,0.15,3.86,4.2,4,155,5.7,2,eucalyptus
m19,my_sites,moruya,MySamples,6/5/2024,150.1084743,-35.8763055,11,1,0.18,4.01,4,2,127,8.8,2.5,acacia;leptospermum;eucalyptus
m2,my_sites,edi,MySamples,3/5/2024,146.4191508,-36.6571105,11,10,0.39,3.88,5.8,13,353,6.4,2.5,eucalyptus
m20,my_sites,termeil,MySamples,7/5/2024,150.3189681,-35.500985,18,6,0.43,4.44,5.3,14,416,7.5,3,eucalyptus
m21,my_sites,budawang,MySamples,7/5/2024,149.9393537,-35.550604,47,1,0.49,4.6,3.7,19,255,12.3,3,leptospermum;eucalyptus
m22,my_sites,snowball,MySamples,7/5/2024,149.5738293,-35.9398741,15,1,0.17,2.9,4,8,147,4.7,2.5,eucalyptus
m23,my_sites,neriga,MySamples,7/5/2024,150.170202,-35.0708404,9,1,0.06,1.52,4,2,80,3.9,2.5,eucalyptus
m24,my_sites,bomo,MySamples,8/5/2024,150.5842409,-34.8521034,11,1,0.09,2.42,4.2,2,59,4.1,2,eucalyptus
m25,my_sites,mittagong,MySamples,8/5/2024,150.4535486,-34.4424345,10,1,0.14,3.21,3.8,2,41,4.8,1.5,eucalyptus;melaleuca;cyprus;banksia
m26,my_sites,nattai,MySamples,8/5/2024,150.4543217,-34.0649719,7,1,0.14,3.23,4.6,3,116,3.6,2.5,eucalyptus
m27,my_sites,kulura,MySamples,9/5/2024,151.2013012,-33.1678891,3,1,0.04,1.34,3.9,2,36,3.8,2,eucalyptus;allocasurina
m28,my_sites,pelton,MySamples,9/5/2024,151.3129143,-32.8769367,7,1,0.1,1.8,4.4,2,111,3.6,3,eucalyptus;banksia;acacia
m29,my_sites,ballengarra,MySamples,9/5/2024,152.8153667,-31.2379496,15,1,0.17,3.68,4.4,6,120,5.1,3,eucalyptus;allocasurina;leptospermum;banksia;acacia
m3,my_sites,bright,MySamples,4/5/2024,146.965788,-36.7134816,12,1,0.31,3.98,4.8,10,386,6.1,2,eucalyptus;allocasurina
m31,my_sites,urunga,MySamples,10/5/2024,153.0033007,-30.5291216,16,1,0.28,4.03,4.1,4,154,7.5,2.5,eucalyptus;allocasurina;acacia
m32,my_sites,tyringham,MySamples,10/5/2024,152.5333301,-30.226793,20,1,0.29,4.17,4.4,10,184,5.8,2.5,eucalyptus;acacia;allocasurina;banksia;leptospermum
m33,my_sites,bombom,MySamples,10/5/2024,152.9501038,-29.7782549,18,1,0.27,3.69,5.1,12,355,7,2,eucalyptus
m34,my_sites,tabbimobile,MySamples,10/5/2024,153.2331992,-29.2556981,15,1,0.16,3.05,4.3,2,78,3.7,3,eucalyptus;acacia;banksia
m35,my_sites,cricklewood,MySamples,11/5/2024,153.2272521,-28.1905554,23,2,0.25,3.79,4.6,10,159,7.2,3,eucalyptus;exocarpos
m36,my_sites,cawongla,MySamples,11/5/2024,153.0827052,-28.5748735,11,49,0.68,4.38,6.2,53,702,13.2,2,eucalyptus
m37,my_sites,ellangowan,MySamples,11/5/2024,153.0109591,-29.0311078,20,1,0.23,3.45,5.2,6,213,7,3,eucalyptus;acacia
m38,my_sites,girard,MySamples,11/5/2024,152.3156755,-28.9263767,18,1,0.19,4.14,4.3,4,143,5.9,3,eucalyptus;acacia;chrysocephalum
m39,my_sites,dundee,MySamples,11/5/2024,151.8385709,-29.637042,19,26,0.63,5.2,5.1,10,254,5.5,2,eucalyptus
m4,my_sites,omeo,MySamples,4/5/2024,147.5628424,-37.11119733,7,1,0.19,2.56,5.2,15,347,3.4,2,eucalyptus
m40,my_sites,blackie,MySamples,11/5/2024,151.663247,-30.3369048,10,3,0.5,4.16,5,24,288,9.1,2,eucalyptus
m41,my_sites,yarrowitch,MySamples,11/5/2024,152.0156011,-31.3354701,42,1,0.47,4.7,4.4,106,482,10.4,2.5,eucalyptus
m42,my_sites,kiwarrak,MySamples,12/5/2024,152.4661632,-31.9727582,12,6,0.43,4.36,5.7,22,283,7.5,2.5,eucalyptus;acacia
m43,my_sites,bulahdelah,MySamples,12/5/2024,152.2339594,-32.3875073,14,1,0.26,3.98,3.5,4,166,11.6,2.5,eucalyptus
