otu_id	reference_id	reference_taxonomy	phylum	class	order	family	genus	species	rank	score	abundance
ad21e60222a38ef30af8a6bbfadebfcf2a7bb289	EUK0633720	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_pseudo_sp_0001	genus	1	12025
35bb042ced811a6a27127e60b7468a44b1845259	KJ729858	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Auritella;s__Auritella_serpentinocystis	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Auritella	Auritella serpentinocystis	species	0.99	8567
e9fdd0db9e1064861d4165d1c414b7d7fc13218f	EUK0813490	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_pseudo_sp_0001	genus	0.979	7956
0bd57fb922c9b005e51e212cfb45690b525bcf65	JF960787	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hysterangiales;f__Gallaceaceae;g__Gallacea;s__	Basidiomycota	Agaricomycetes	Hysterangiales	Gallaceaceae	Gallacea	Gallacea_pseudo_sp_0001	genus	0.966	7456
95f9c7fe1545735d7531650b2be24a352b64c379	EUK0633727	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_pseudo_sp_0002	genus	1	5802
4d01c9d563972e54bbd56ee3e1347694b91234e5	KC222706	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_pseudo_sp_0001	genus	1	4845
5f1ae51b9e440f777442a782abd2bb29520d320d	EUK1655101	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_pseudo_sp_0003	genus	0.981	4622
737836319f4864cb4833b33a1a221da5ec374309	EUK0633804	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hysterangiales;f__Mesophelliaceae;g__Mesophellia;s__	Basidiomycota	Agaricomycetes	Hysterangiales	Mesophelliaceae	Mesophellia	Mesophellia_pseudo_sp_0001	genus	1	4279
199f8f65736b7104a838420078d47be5f4fc978c	EUK1666904	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_pseudo_sp_0002	genus	1	4116
cce0594f8f7174f254c24f2aff683bbeb749616a	EUK0437931	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0001	genus	0.983	4032
db87a7bdb4eef6d1511629617549dc899a644559	UDB004025	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Gloniales;f__Gloniaceae;g__Cenococcum;s__Cenococcum_geophilum	Ascomycota	Dothideomycetes	Gloniales	Gloniaceae	Cenococcum	Cenococcum geophilum	species	1	3849
d8feb1177b78a65d24191146a2b16b69fe117719	KC222689	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_pseudo_sp_0003	genus	1	3818
8d4c26b3870a5ab417cc303ccdaa8e5102403c74	MW683750	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_griseostipitata	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula griseostipitata	species	0.995	3446
012d419b3a63af8b2d5d705f21b4b6b4491ce586	EUK0633754	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_pseudo_sp_0004	genus	1	3101
e4112db71f7fa3e5e86f6c6f154dbc93e9aff9ed	EUK1665310	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0002	genus	0.995	2850
f8fa0be9269ead4db8f5e2a59d33fefcad6a19b2	JF960808	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_sp_0003	genus	0.995	2661
222273ff65070560491ae1485bc83472df664e19	OQ566922	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hysterangiales;f__Gallaceaceae;g__Austrogautieria;s__	Basidiomycota	Agaricomycetes	Hysterangiales	Gallaceaceae	Austrogautieria	Austrogautieria_pseudo_sp_0002	genus	0.991	2539
fdced8efb4a9e243f40894e357141351ead316a6	MT229870	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Amanitaceae;g__Amanita;s__Amanita_luteolovelata	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita luteolovelata	species	1	2476
1853ff82c6bff186abd1267b87c8d2fde587eeb3	EUK0667361	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hysterangiales;f__Mesophelliaceae;g__Chondrogaster;s__	Basidiomycota	Agaricomycetes	Hysterangiales	Mesophelliaceae	Chondrogaster	Chondrogaster_pseudo_sp_0001	genus	0.994	2355
9d703216d6933796079a06b91392383c71a9b5b3	MG925397	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Ruhlandiella;s__Ruhlandiella_truncata	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Ruhlandiella	Ruhlandiella truncata	species	0.99	2280
7f6bb22613c512e0391a9ca1816dcbe6361db552	MG553141	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_pseudo_sp_0004	genus	0.98	2187
e64cf1a927355a20f103900d0c0c64128bd50dda	EUK0817742	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hydnangiaceae;g__Laccaria;s__	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria_pseudo_sp_0001	genus	0.988	2101
b73357475e9f05bf79ab89af8af140c7b33c8d5b	EUK0634473	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_pseudo_sp_0002	genus	0.979	2073
23f6bfd283523711effbdd7f3f1392a3dabc8249	DQ672317	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Clavulinaceae;g__Clavulina;s__	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	Clavulina	Clavulina_pseudo_sp_0002	genus	1	2040
8ce44af6ac649b986f8e09bbc599dbb05060cf20	KX058342	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__Tomentella_parmastoana	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella parmastoana	species	0.991	2036
91825cfc3bb0c520e0989bcc7559db1103fa8b05	EUK1258548	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Ruhlandiella;s__	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Ruhlandiella	Ruhlandiella_pseudo_sp_0001	genus	0.998	1971
