otu_id	am_group	reference_id	reference_taxonomy	class	order	family	genus	species	rank	score	abundance
06f94f14ed2d08b729232c5f8827fb3f6346de13	Glomeromycota	EUK1617046	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Entrophosporales;f__Entrophosporaceae;g__Entrophospora;s__unclassified	Glomeromycetes	Entrophosporales	Entrophosporaceae	Entrophospora	Entrophospora_pseudo_sp_0001	genus	1	9455
734a8c7276a8ef386a40908d87e6a2bd2408d5f2	Glomeromycota	HF566507	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Dominikia;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia_pseudo_sp_0001	genus	1	7876
cb490bfbd17509b6970cc9e4aef9c10fcb24eeb7	Endogonomycetes	KC215424	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Densosporales_fam03;g__Densosporales_fam03_gen01;s__unclassified	Endogonomycetes	Densosporales	Densosporales_fam03	Densosporales_fam03_gen01	Densosporales_fam03_gen01_pseudo_sp_0001	genus	0.984	6045
0fd38ea639c22189eede45740ffe182bebec47e0	Glomeromycota	AJ699061	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Nanoglomus;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Nanoglomus	Nanoglomus_pseudo_sp_0001	genus	1	5796
3bf0de694dc48b764140e30203792d1e1475ec27	Glomeromycota	MG829551	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Entrophosporales;f__Entrophosporaceae;g__Entrophospora;s__unclassified	Glomeromycetes	Entrophosporales	Entrophosporaceae	Entrophospora	Entrophospora_pseudo_sp_0002	genus	0.994	5323
5772be9766c2c8accca36c704f8b228827ebad27	Glomeromycota	MG829521	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomeraceae_gen05;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen05	Glomeraceae_gen05_pseudo_sp_0001	genus	0.99	4864
94053ceb9263317bcdd80e6d907d7c3f612a2ed1	Endogonomycetes	EUK1190542	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Densosporales_fam11;g__unclassified;s__unclassified	Endogonomycetes	Densosporales	Densosporales_fam11	Densosporales_fam11_pseudo_gen_0001	Densosporales_fam11_pseudo_sp_0001	family	0.996	3159
eaca4cb19c14ea52d21e7338bc46f0af79df9bef	Glomeromycota	AB555655	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomeraceae_gen27;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen27	Glomeraceae_gen27_pseudo_sp_0001	genus	1	2990
6fd377e423d9dab6be242f384463ab6d72687611	Endogonomycetes	EUK1104816	k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Densosporales;f__Densosporales_fam05;g__Densosporales_fam05_gen01;s__unclassified	Endogonomycetes	Densosporales	Densosporales_fam05	Densosporales_fam05_gen01	Densosporales_fam05_gen01_pseudo_sp_0001	genus	0.988	2953
bddd04c099655581172839bf820e48811964a613	Glomeromycota	JF414176	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomeraceae_gen05;s__unclassified	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_gen05	Glomeraceae_gen05_pseudo_sp_0002	genus	0.992	2924
