otu_id	reference_id	reference_taxonomy	class	order	family	genus	species	rank	score	abundance
06f94f14ed2d08b729232c5f8827fb3f6346de13	EUK1138526	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Entrophosporales;f__Entrophosporaceae;g__Entrophospora;s__unidentified	Glomeromycetes	Entrophosporales	Entrophosporaceae	Entrophospora	Entrophospora_pseudo_species_0001	genus	1	9478
734a8c7276a8ef386a40908d87e6a2bd2408d5f2	HF566507	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0001	genus	1	7959
0fd38ea639c22189eede45740ffe182bebec47e0	AJ699061	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0002	genus	1	5765
3bf0de694dc48b764140e30203792d1e1475ec27	MG829551	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Entrophosporales;f__Entrophosporaceae;g__Entrophospora;s__unidentified	Glomeromycetes	Entrophosporales	Entrophosporaceae	Entrophospora	Entrophospora_pseudo_species_0002	genus	0.995	5206
5772be9766c2c8accca36c704f8b228827ebad27	HF566664	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0003	genus	0.99	4634
f10ff92e1101d7224ed6e6f5e96c97182130c87a	HE799053	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0004	genus	0.99	3358
068eac50a237fb19a4872b38d982cf939dbb9143	HF566504	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0005	genus	1	2831
eaca4cb19c14ea52d21e7338bc46f0af79df9bef	AB555655	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0006	genus	1	2625
bddd04c099655581172839bf820e48811964a613	LN617630	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0007	genus	1	2359
8f7508c92a042de4bce02f68e1197348497de8e6	HE799235	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0008	genus	1	2282
42a26f6a08133e46f32bdc5fea09ce0833628944	HE799042	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0009	genus	1	1920
41ff0aa01abd9fea772f92befee785f2f421f8fb	AJ276092	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Gigasporales;f__Gigasporaceae;g__Scutellospora;s__Scutellospora_aurigloba	Glomeromycetes	Gigasporales	Gigasporaceae	Scutellospora	Scutellospora aurigloba	species	0.995	1899
9820d4a62e5c7c03eb9fce8e342b6725e1b0b867	AM713428	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Diversispora;s__Diversispora_celata	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora celata	species	0.995	1689
bca4172c991bc14da105eb7ce95f8103009d5a97	JF414192	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0010	genus	1	1669
6150d9555d3b29738da695c76739d9c851297487	LN623410	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0011	genus	0.99	1600
210322ef47ab9ab5f5dea789bb4a837483be9037	HE576883	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Entrophosporales;f__Entrophosporaceae;g__Claroideoglomus;s__unidentified	Glomeromycetes	Entrophosporales	Entrophosporaceae	Claroideoglomus	Claroideoglomus_pseudo_species_0001	genus	1	1595
e443ace0b6aacba8ac7fa25dd43bb57553900c16	HE798766	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0012	genus	1	1517
028dd3af62d1c0a08abfc150e1b4459988accc0e	HF566729	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0013	genus	0.985	1415
a2257030092db00c858c5efd692b2c589826fa0e	LN619732	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Archaeosporaceae;g__Archaeospora;s__unidentified	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora_pseudo_species_0001	genus	1	1322
d72b57545dce1dbf624f7217d7fd5be9ab5efa2e	JN644361	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Dominikia;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia_pseudo_species_0001	genus	1	1294
a533ab8bc91715af4cd448ed187dac9788d03db8	LN826983	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0014	genus	0.99	1276
7a67bfe13ceb747cb2a079ac46e2ece500fd7adc	EUK1124337	k__Fungi;p__Glomeromycota;c__Paraglomeromycetes;o__Paraglomerales;f__Paraglomeraceae;g__Paraglomus;s__Paraglomus_laccatum	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Paraglomus laccatum	species	1	1167
9b304b250cb1c61a0813911ca8c1a215457f3b54	AJ418850	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Acaulosporaceae;g__Acaulospora;s__Acaulospora_laevis	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora laevis	species	1	1130
9bbde323096304ae2b4f57d9f6527d835d50e6fa	HF566714	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0015	genus	1	1035
8df953bba5a25f3ca3b0728f03f84ad7688e86b1	LN825972	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0016	genus	1	1010
efb0f852e37f8d3e67c83a4771566fa474a62ab7	FN869795	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Entrophosporales;f__Entrophosporaceae;g__Claroideoglomus;s__unidentified	Glomeromycetes	Entrophosporales	Entrophosporaceae	Claroideoglomus	Claroideoglomus_pseudo_species_0002	genus	0.98	919
11b75378c3bd102a8b2d00beabdc5c94fb085b1d	AJ276087	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Entrophosporales;f__Entrophosporaceae;g__Claroideoglomus;s__Claroideoglomus_lamellosum	Glomeromycetes	Entrophosporales	Entrophosporaceae	Claroideoglomus	Claroideoglomus lamellosum	species	1	880
3384507f7f67cad3a7855c8191a8b343fe647a3f	LN623218	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Archaeosporaceae;g__Archaeospora;s__unidentified	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora_pseudo_species_0002	genus	0.99	870
c52d4dc5d108e786a6cdfd3cb211c04388d8437a	JF414173	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Entrophosporales;f__Entrophosporaceae;g__Claroideoglomus;s__unidentified	Glomeromycetes	Entrophosporales	Entrophosporaceae	Claroideoglomus	Claroideoglomus_pseudo_species_0003	genus	0.995	828
9f7d733fdaf896100e19fad875ec35c3a0774223	HF566449	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Archaeosporaceae;g__Archaeospora;s__unidentified	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora_pseudo_species_0003	genus	1	810
a96c2c81494f96e3016f5ccb2247eef838d750ee	LN623004	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Diversispora;s__unidentified	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora_pseudo_species_0001	genus	0.995	766
a2008322c56a80d4b07e29cab7d00f5f71f4ef68	FN825900	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Acaulosporaceae;g__Acaulospora;s__Acaulospora_brasiliensis	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora brasiliensis	species	0.995	759
e8ddf3105b3c38902a20e369c5aff3ce5c77b1f8	Y17650	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Diversispora;s__Diversispora_spurca	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora spurca	species	0.995	753
aab44e36889ce202484f14123ccd45b2215738f1	LN618539	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0017	genus	1	732
6fc2e836e9ce8b0fb149b898850f3ee9420209e1	HE799236	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0018	genus	0.995	698
2070f3a88ddc7035e788379f90ade45c65ec4dd8	HF566520	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_0019	genus	0.995	586
ae05df173bb7b8dd5b4c253966185c5524641db7	LN826535	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Archaeosporaceae;g__Archaeospora;s__unidentified	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Archaeospora	Archaeospora_pseudo_species_0004	genus	1	566
1e54ccebd488315d0f4ba3ae5f8c30f043f6e56a	EUK1124128	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae;g__Diversispora;s__Diversispora_varaderana	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora varaderana	species	0.995	539
97249f7e71a28f6c4eb0d00709e599af3057ce15	FJ831588	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Dominikia;s__unidentified	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	Dominikia_pseudo_species_0002	genus	1	520
b87498d99cfebf91ffe6eb7ff5984fdaf18424d4	AB047306	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Ambisporaceae;g__Ambispora;s__Ambispora_leptoticha	Archaeosporomycetes	Archaeosporales	Ambisporaceae	Ambispora	Ambispora leptoticha	species	0.995	500
